0) cost:0, mask:0, updatemask:0, visited:1, edges:0, id/edge:0 6
1) cost:3, mask:0, updatemask:0, visited:1, edges:0, id/edge:6 7
2) cost:1, mask:0, updatemask:0, visited:1, edges:6, id/edge:13 5
3) cost:2, mask:0, updatemask:0, visited:1, edges:5, id/edge:18 6
4) cost:3, mask:0, updatemask:0, visited:1, edges:2, id/edge:24 4
5) cost:1, mask:0, updatemask:0, visited:1, edges:7, id/edge:28 6
6) cost:1, mask:0, updatemask:0, visited:1, edges:1, id/edge:34 6
7) cost:1, mask:0, updatemask:0, visited:1, edges:1, id/edge:40 4
8) cost:2, mask:0, updatemask:0, visited:1, edges:25, id/edge:44 7
9) cost:3, mask:0, updatemask:0, visited:1, edges:20, id/edge:51 5
10) cost:2, mask:0, updatemask:0, visited:1, edges:13, id/edge:56 6
11) cost:2, mask:0, updatemask:0, visited:1, edges:18, id/edge:62 10
12) cost:2, mask:0, updatemask:0, visited:1, edges:31, id/edge:72 4
13) cost:3, mask:0, updatemask:0, visited:1, edges:11, id/edge:76 8
14) cost:4, mask:0, updatemask:0, visited:1, edges:18, id/edge:84 3
15) cost:2, mask:0, updatemask:0, visited:1, edges:0, id/edge:87 7
16) cost:2, mask:0, updatemask:0, visited:1, edges:12, id/edge:94 6
17) cost:2, mask:0, updatemask:0, visited:1, edges:24, id/edge:100 9
18) cost:2, mask:0, updatemask:0, visited:1, edges:10, id/edge:109 7
19) cost:3, mask:0, updatemask:0, visited:1, edges:21, id/edge:116 5
20) cost:3, mask:0, updatemask:0, visited:1, edges:7, id/edge:121 5
21) cost:3, mask:0, updatemask:0, visited:1, edges:5, id/edge:126 7
22) cost:3, mask:0, updatemask:0, visited:1, edges:8, id/edge:133 5
23) cost:3, mask:0, updatemask:0, visited:1, edges:21, id/edge:138 6
24) cost:2, mask:0, updatemask:0, visited:1, edges:17, id/edge:144 4
25) cost:3, mask:0, updatemask:0, visited:1, edges:17, id/edge:148 7
26) cost:2, mask:0, updatemask:0, visited:1, edges:20, id/edge:155 4
27) cost:3, mask:0, updatemask:0, visited:1, edges:27, id/edge:159 7
28) cost:2, mask:0, updatemask:0, visited:1, edges:0, id/edge:166 6
29) cost:3, mask:0, updatemask:0, visited:1, edges:17, id/edge:172 7
30) cost:3, mask:0, updatemask:0, visited:1, edges:3, id/edge:179 5
31) cost:3, mask:0, updatemask:0, visited:1, edges:6, id/edge:184 4
