PERF: core0: instrs=173070, cycles=1312972, IPC=0.131815
PERF: core1: instrs=173381, cycles=1313127, IPC=0.132037
PERF: core2: instrs=174860, cycles=1397583, IPC=0.125116
PERF: core3: instrs=175005, cycles=1351891, IPC=0.129452
PERF: core4: instrs=175005, cycles=1342984, IPC=0.130311
PERF: core5: instrs=175005, cycles=1312966, IPC=0.133290
PERF: core6: instrs=175005, cycles=1351929, IPC=0.129448
PERF: core7: instrs=175003, cycles=1312967, IPC=0.133288
PERF: core8: instrs=175003, cycles=1312965, IPC=0.133288
PERF: core9: instrs=175003, cycles=1313549, IPC=0.133229
PERF: core10: instrs=175003, cycles=1312962, IPC=0.133289
PERF: core11: instrs=175003, cycles=1318720, IPC=0.132707
PERF: core12: instrs=175003, cycles=1397798, IPC=0.125199
PERF: core13: instrs=175003, cycles=1371532, IPC=0.127597
PERF: core14: instrs=175003, cycles=1388380, IPC=0.126048
PERF: core15: instrs=175003, cycles=1371573, IPC=0.127593
PERF: instrs=2796358, cycles=1397798, IPC=2.000545
PERF: core0: instrs=173069, cycles=1248077, IPC=0.138669
PERF: core1: instrs=173380, cycles=1250764, IPC=0.138619
PERF: core2: instrs=174859, cycles=1285802, IPC=0.135992
PERF: core3: instrs=175004, cycles=1291054, IPC=0.135551
PERF: core4: instrs=175004, cycles=1332576, IPC=0.131328
PERF: core5: instrs=175004, cycles=1345233, IPC=0.130092
PERF: core6: instrs=175004, cycles=1291475, IPC=0.135507
PERF: core7: instrs=175002, cycles=1386197, IPC=0.126246
PERF: core8: instrs=175002, cycles=1344984, IPC=0.130115
PERF: core9: instrs=175002, cycles=1345115, IPC=0.130102
PERF: core10: instrs=175002, cycles=1345284, IPC=0.130086
PERF: core11: instrs=175002, cycles=1291470, IPC=0.135506
PERF: core12: instrs=175002, cycles=1291465, IPC=0.135507
PERF: core13: instrs=175002, cycles=1345254, IPC=0.130088
PERF: core14: instrs=175002, cycles=1291467, IPC=0.135506
PERF: core15: instrs=175002, cycles=1338573, IPC=0.130738
PERF: instrs=2796342, cycles=1386197, IPC=2.017276
PERF: core0: instrs=173069, cycles=1249267, IPC=0.138536
PERF: core1: instrs=173380, cycles=1251645, IPC=0.138522
PERF: core2: instrs=174859, cycles=1272210, IPC=0.137445
PERF: core3: instrs=175005, cycles=1255974, IPC=0.139338
PERF: core4: instrs=175004, cycles=1311424, IPC=0.133446
PERF: core5: instrs=175004, cycles=1315921, IPC=0.132990
PERF: core6: instrs=175004, cycles=1270311, IPC=0.137765
PERF: core7: instrs=175002, cycles=1304721, IPC=0.134130
PERF: core8: instrs=175002, cycles=1268699, IPC=0.137938
PERF: core9: instrs=175000, cycles=1304214, IPC=0.134180
PERF: core10: instrs=175002, cycles=1304693, IPC=0.134133
PERF: core11: instrs=175002, cycles=1265795, IPC=0.138255
PERF: core12: instrs=175002, cycles=1363055, IPC=0.128390
PERF: core13: instrs=175002, cycles=1354472, IPC=0.129203
PERF: core14: instrs=175002, cycles=1315947, IPC=0.132986
PERF: core15: instrs=175002, cycles=1312826, IPC=0.133302
PERF: instrs=2796341, cycles=1363055, IPC=2.051525
PERF: core0: instrs=1326172, cycles=16302026, IPC=0.081350
PERF: core1: instrs=1328947, cycles=16525023, IPC=0.080420
PERF: core2: instrs=1328801, cycles=16553500, IPC=0.080273
PERF: core3: instrs=1328801, cycles=16562987, IPC=0.080227
PERF: core4: instrs=1328801, cycles=16827547, IPC=0.078966
PERF: core5: instrs=1328801, cycles=16784177, IPC=0.079170
PERF: core6: instrs=1328801, cycles=16808399, IPC=0.079056
PERF: core7: instrs=1328801, cycles=16622664, IPC=0.079939
PERF: core8: instrs=1329441, cycles=16948238, IPC=0.078441
PERF: core9: instrs=1329441, cycles=16948539, IPC=0.078440
PERF: core10: instrs=1330920, cycles=16887618, IPC=0.078810
PERF: core11: instrs=1332399, cycles=16942568, IPC=0.078642
PERF: core12: instrs=1332399, cycles=16964211, IPC=0.078542
PERF: core13: instrs=1332399, cycles=16935010, IPC=0.078677
PERF: core14: instrs=1332397, cycles=16967409, IPC=0.078527
PERF: core15: instrs=1332397, cycles=16964173, IPC=0.078542
PERF: instrs=21279718, cycles=16967409, IPC=1.254152
PERF: core0: instrs=1326172, cycles=16302026, IPC=0.081350
PERF: core1: instrs=1328947, cycles=16525023, IPC=0.080420
PERF: core2: instrs=1328801, cycles=16553500, IPC=0.080273
PERF: core3: instrs=1328801, cycles=16562987, IPC=0.080227
PERF: core4: instrs=1328801, cycles=16827547, IPC=0.078966
PERF: core5: instrs=1328801, cycles=16784177, IPC=0.079170
PERF: core6: instrs=1328801, cycles=16808399, IPC=0.079056
PERF: core7: instrs=1328801, cycles=16622664, IPC=0.079939
PERF: core8: instrs=1329441, cycles=16948238, IPC=0.078441
PERF: core9: instrs=1329441, cycles=16948539, IPC=0.078440
PERF: core10: instrs=1330920, cycles=16887618, IPC=0.078810
PERF: core11: instrs=1332399, cycles=16942568, IPC=0.078642
PERF: core12: instrs=1332399, cycles=16964211, IPC=0.078542
PERF: core13: instrs=1332399, cycles=16935010, IPC=0.078677
PERF: core14: instrs=1332397, cycles=16967409, IPC=0.078527
PERF: core15: instrs=1332397, cycles=16964173, IPC=0.078542
PERF: instrs=21279718, cycles=16967409, IPC=1.254152
PERF: core0: instrs=1326172, cycles=16302026, IPC=0.081350
PERF: core1: instrs=1328947, cycles=16525023, IPC=0.080420
PERF: core2: instrs=1328801, cycles=16553500, IPC=0.080273
PERF: core3: instrs=1328801, cycles=16562987, IPC=0.080227
PERF: core4: instrs=1328801, cycles=16827547, IPC=0.078966
PERF: core5: instrs=1328801, cycles=16784177, IPC=0.079170
PERF: core6: instrs=1328801, cycles=16808399, IPC=0.079056
PERF: core7: instrs=1328801, cycles=16622664, IPC=0.079939
PERF: core8: instrs=1329441, cycles=16948238, IPC=0.078441
PERF: core9: instrs=1329441, cycles=16948539, IPC=0.078440
PERF: core10: instrs=1330920, cycles=16887618, IPC=0.078810
PERF: core11: instrs=1332399, cycles=16942568, IPC=0.078642
PERF: core12: instrs=1332399, cycles=16964211, IPC=0.078542
PERF: core13: instrs=1332399, cycles=16935010, IPC=0.078677
PERF: core14: instrs=1332397, cycles=16967409, IPC=0.078527
PERF: core15: instrs=1332397, cycles=16964173, IPC=0.078542
PERF: instrs=21279718, cycles=16967409, IPC=1.254152
PERF: core0: instrs=1326172, cycles=16302026, IPC=0.081350
PERF: core1: instrs=1328947, cycles=16525023, IPC=0.080420
PERF: core2: instrs=1328801, cycles=16553500, IPC=0.080273
PERF: core3: instrs=1328801, cycles=16562987, IPC=0.080227
PERF: core4: instrs=1328801, cycles=16827547, IPC=0.078966
PERF: core5: instrs=1328801, cycles=16784177, IPC=0.079170
PERF: core6: instrs=1328801, cycles=16808399, IPC=0.079056
PERF: core7: instrs=1328801, cycles=16622664, IPC=0.079939
PERF: core8: instrs=1329441, cycles=16948238, IPC=0.078441
PERF: core9: instrs=1329441, cycles=16948539, IPC=0.078440
PERF: core10: instrs=1330920, cycles=16887618, IPC=0.078810
PERF: core11: instrs=1332399, cycles=16942568, IPC=0.078642
PERF: core12: instrs=1332399, cycles=16964211, IPC=0.078542
PERF: core13: instrs=1332399, cycles=16935010, IPC=0.078677
PERF: core14: instrs=1332397, cycles=16967409, IPC=0.078527
PERF: core15: instrs=1332397, cycles=16964173, IPC=0.078542
PERF: instrs=21279718, cycles=16967409, IPC=1.254152
PERF: core0: instrs=1326172, cycles=16302026, IPC=0.081350
PERF: core1: instrs=1328947, cycles=16525023, IPC=0.080420
PERF: core2: instrs=1328801, cycles=16553500, IPC=0.080273
PERF: core3: instrs=1328801, cycles=16562987, IPC=0.080227
PERF: core4: instrs=1328801, cycles=16827547, IPC=0.078966
PERF: core5: instrs=1328801, cycles=16784177, IPC=0.079170
PERF: core6: instrs=1328801, cycles=16808399, IPC=0.079056
PERF: core7: instrs=1328801, cycles=16622664, IPC=0.079939
PERF: core8: instrs=1329441, cycles=16948238, IPC=0.078441
PERF: core9: instrs=1329441, cycles=16948539, IPC=0.078440
PERF: core10: instrs=1330920, cycles=16887618, IPC=0.078810
PERF: core11: instrs=1332399, cycles=16942568, IPC=0.078642
PERF: core12: instrs=1332399, cycles=16964211, IPC=0.078542
PERF: core13: instrs=1332399, cycles=16935010, IPC=0.078677
PERF: core14: instrs=1332397, cycles=16967409, IPC=0.078527
PERF: core15: instrs=1332397, cycles=16964173, IPC=0.078542
PERF: instrs=21279718, cycles=16967409, IPC=1.254152
PERF: core0: instrs=1326172, cycles=16302026, IPC=0.081350
PERF: core1: instrs=1328947, cycles=16525023, IPC=0.080420
PERF: core2: instrs=1328801, cycles=16553500, IPC=0.080273
PERF: core3: instrs=1328801, cycles=16562987, IPC=0.080227
PERF: core4: instrs=1328801, cycles=16827547, IPC=0.078966
PERF: core5: instrs=1328801, cycles=16784177, IPC=0.079170
PERF: core6: instrs=1328801, cycles=16808399, IPC=0.079056
PERF: core7: instrs=1328801, cycles=16622664, IPC=0.079939
PERF: core8: instrs=1329441, cycles=16948238, IPC=0.078441
PERF: core9: instrs=1329441, cycles=16948539, IPC=0.078440
PERF: core10: instrs=1330920, cycles=16887618, IPC=0.078810
PERF: core11: instrs=1332399, cycles=16942568, IPC=0.078642
PERF: core12: instrs=1332399, cycles=16964211, IPC=0.078542
PERF: core13: instrs=1332399, cycles=16935010, IPC=0.078677
PERF: core14: instrs=1332397, cycles=16967409, IPC=0.078527
PERF: core15: instrs=1332397, cycles=16964173, IPC=0.078542
PERF: instrs=21279718, cycles=16967409, IPC=1.254152
PERF: core0: instrs=1326172, cycles=16302026, IPC=0.081350
PERF: core1: instrs=1328947, cycles=16525023, IPC=0.080420
PERF: core2: instrs=1328801, cycles=16553500, IPC=0.080273
PERF: core3: instrs=1328801, cycles=16562987, IPC=0.080227
PERF: core4: instrs=1328801, cycles=16827547, IPC=0.078966
PERF: core5: instrs=1328801, cycles=16784177, IPC=0.079170
PERF: core6: instrs=1328801, cycles=16808399, IPC=0.079056
PERF: core7: instrs=1328801, cycles=16622664, IPC=0.079939
PERF: core8: instrs=1329441, cycles=16948238, IPC=0.078441
PERF: core9: instrs=1329441, cycles=16948539, IPC=0.078440
PERF: core10: instrs=1330920, cycles=16887618, IPC=0.078810
PERF: core11: instrs=1332399, cycles=16942568, IPC=0.078642
PERF: core12: instrs=1332399, cycles=16964211, IPC=0.078542
PERF: core13: instrs=1332399, cycles=16935010, IPC=0.078677
PERF: core14: instrs=1332397, cycles=16967409, IPC=0.078527
PERF: core15: instrs=1332397, cycles=16964173, IPC=0.078542
PERF: instrs=21279718, cycles=16967409, IPC=1.254152
PERF: core0: instrs=1326172, cycles=16302026, IPC=0.081350
PERF: core1: instrs=1328947, cycles=16525023, IPC=0.080420
PERF: core2: instrs=1328801, cycles=16553500, IPC=0.080273
PERF: core3: instrs=1328801, cycles=16562987, IPC=0.080227
PERF: core4: instrs=1328801, cycles=16827547, IPC=0.078966
PERF: core5: instrs=1328801, cycles=16784177, IPC=0.079170
PERF: core6: instrs=1328801, cycles=16808399, IPC=0.079056
PERF: core7: instrs=1328801, cycles=16622664, IPC=0.079939
PERF: core8: instrs=1329441, cycles=16948238, IPC=0.078441
PERF: core9: instrs=1329441, cycles=16948539, IPC=0.078440
PERF: core10: instrs=1330920, cycles=16887618, IPC=0.078810
PERF: core11: instrs=1332399, cycles=16942568, IPC=0.078642
PERF: core12: instrs=1332399, cycles=16964211, IPC=0.078542
PERF: core13: instrs=1332399, cycles=16935010, IPC=0.078677
PERF: core14: instrs=1332397, cycles=16967409, IPC=0.078527
PERF: core15: instrs=1332397, cycles=16964173, IPC=0.078542
PERF: instrs=21279718, cycles=16967409, IPC=1.254152
PERF: core0: instrs=1326172, cycles=16302026, IPC=0.081350
PERF: core1: instrs=1328947, cycles=16525023, IPC=0.080420
PERF: core2: instrs=1328801, cycles=16553500, IPC=0.080273
PERF: core3: instrs=1328801, cycles=16562987, IPC=0.080227
PERF: core4: instrs=1328801, cycles=16827547, IPC=0.078966
PERF: core5: instrs=1328801, cycles=16784177, IPC=0.079170
PERF: core6: instrs=1328801, cycles=16808399, IPC=0.079056
PERF: core7: instrs=1328801, cycles=16622664, IPC=0.079939
PERF: core8: instrs=1329441, cycles=16948238, IPC=0.078441
PERF: core9: instrs=1329441, cycles=16948539, IPC=0.078440
PERF: core10: instrs=1330920, cycles=16887618, IPC=0.078810
PERF: core11: instrs=1332399, cycles=16942568, IPC=0.078642
PERF: core12: instrs=1332399, cycles=16964211, IPC=0.078542
PERF: core13: instrs=1332399, cycles=16935010, IPC=0.078677
PERF: core14: instrs=1332397, cycles=16967409, IPC=0.078527
PERF: core15: instrs=1332397, cycles=16964173, IPC=0.078542
PERF: instrs=21279718, cycles=16967409, IPC=1.254152
PERF: core0: instrs=1326172, cycles=16302026, IPC=0.081350
PERF: core1: instrs=1328947, cycles=16525023, IPC=0.080420
PERF: core2: instrs=1328801, cycles=16553500, IPC=0.080273
PERF: core3: instrs=1328801, cycles=16562987, IPC=0.080227
PERF: core4: instrs=1328801, cycles=16827547, IPC=0.078966
PERF: core5: instrs=1328801, cycles=16784177, IPC=0.079170
PERF: core6: instrs=1328801, cycles=16808399, IPC=0.079056
PERF: core7: instrs=1328801, cycles=16622664, IPC=0.079939
PERF: core8: instrs=1329441, cycles=16948238, IPC=0.078441
PERF: core9: instrs=1329441, cycles=16948539, IPC=0.078440
PERF: core10: instrs=1330920, cycles=16887618, IPC=0.078810
PERF: core11: instrs=1332399, cycles=16942568, IPC=0.078642
PERF: core12: instrs=1332399, cycles=16964211, IPC=0.078542
PERF: core13: instrs=1332399, cycles=16935010, IPC=0.078677
PERF: core14: instrs=1332397, cycles=16967409, IPC=0.078527
PERF: core15: instrs=1332397, cycles=16964173, IPC=0.078542
PERF: instrs=21279718, cycles=16967409, IPC=1.254152
PERF: core0: instrs=1326172, cycles=16302026, IPC=0.081350
PERF: core1: instrs=1328947, cycles=16525023, IPC=0.080420
PERF: core2: instrs=1328801, cycles=16553500, IPC=0.080273
PERF: core3: instrs=1328801, cycles=16562987, IPC=0.080227
PERF: core4: instrs=1328801, cycles=16827547, IPC=0.078966
PERF: core5: instrs=1328801, cycles=16784177, IPC=0.079170
PERF: core6: instrs=1328801, cycles=16808399, IPC=0.079056
PERF: core7: instrs=1328801, cycles=16622664, IPC=0.079939
PERF: core8: instrs=1329441, cycles=16948238, IPC=0.078441
PERF: core9: instrs=1329441, cycles=16948539, IPC=0.078440
PERF: core10: instrs=1330920, cycles=16887618, IPC=0.078810
PERF: core11: instrs=1332399, cycles=16942568, IPC=0.078642
PERF: core12: instrs=1332399, cycles=16964211, IPC=0.078542
PERF: core13: instrs=1332399, cycles=16935010, IPC=0.078677
PERF: core14: instrs=1332397, cycles=16967409, IPC=0.078527
PERF: core15: instrs=1332397, cycles=16964173, IPC=0.078542
PERF: instrs=21279718, cycles=16967409, IPC=1.254152
PERF: core0: instrs=1326172, cycles=16302026, IPC=0.081350
PERF: core1: instrs=1328947, cycles=16525023, IPC=0.080420
PERF: core2: instrs=1328801, cycles=16553500, IPC=0.080273
PERF: core3: instrs=1328801, cycles=16562987, IPC=0.080227
PERF: core4: instrs=1328801, cycles=16827547, IPC=0.078966
PERF: core5: instrs=1328801, cycles=16784177, IPC=0.079170
PERF: core6: instrs=1328801, cycles=16808399, IPC=0.079056
PERF: core7: instrs=1328801, cycles=16622664, IPC=0.079939
PERF: core8: instrs=1329441, cycles=16948238, IPC=0.078441
PERF: core9: instrs=1329441, cycles=16948539, IPC=0.078440
PERF: core10: instrs=1330920, cycles=16887618, IPC=0.078810
PERF: core11: instrs=1332399, cycles=16942568, IPC=0.078642
PERF: core12: instrs=1332399, cycles=16964211, IPC=0.078542
PERF: core13: instrs=1332399, cycles=16935010, IPC=0.078677
PERF: core14: instrs=1332397, cycles=16967409, IPC=0.078527
PERF: core15: instrs=1332397, cycles=16964173, IPC=0.078542
PERF: instrs=21279718, cycles=16967409, IPC=1.254152
PERF: core0: instrs=1326172, cycles=16302026, IPC=0.081350
PERF: core1: instrs=1328947, cycles=16525023, IPC=0.080420
