PERF: instrs=2457085, cycles=4377632, IPC=0.561282
PERF: instrs=2457084, cycles=4376457, IPC=0.561432
PERF: instrs=2457084, cycles=4402434, IPC=0.558119
PERF: instrs=2457112, cycles=4405450, IPC=0.557744
PERF: instrs=2457111, cycles=4376829, IPC=0.561391
PERF: instrs=2457111, cycles=4402806, IPC=0.558078
PERF: instrs=2457111, cycles=4378016, IPC=0.561238
PERF: instrs=2457110, cycles=4376841, IPC=0.561389
PERF: instrs=2457110, cycles=4402818, IPC=0.558077
PERF: instrs=2457111, cycles=4378016, IPC=0.561238
PERF: instrs=2457110, cycles=4376841, IPC=0.561389
PERF: instrs=2457110, cycles=4402818, IPC=0.558077
PERF: instrs=21006196, cycles=35163452, IPC=0.597387
PERF: instrs=21006196, cycles=35163452, IPC=0.597387
PERF: instrs=5654743, cycles=9827577, IPC=0.575395
PERF: instrs=5654743, cycles=9827577, IPC=0.575395
PERF: instrs=5654743, cycles=9827577, IPC=0.575395
PERF: instrs=5654743, cycles=9827577, IPC=0.575395
PERF: instrs=18095519, cycles=34745939, IPC=0.520795
PERF: instrs=18095518, cycles=34834796, IPC=0.519467
PERF: instrs=18095518, cycles=34865717, IPC=0.519006
PERF: instrs=18095549, cycles=34746347, IPC=0.520790
PERF: instrs=18095548, cycles=34835204, IPC=0.519462
PERF: instrs=18095548, cycles=34866125, IPC=0.519001
PERF: instrs=36219594, cycles=73801614, IPC=0.490770
PERF: instrs=36219594, cycles=73801614, IPC=0.490770
PERF: instrs=16258492, cycles=77031666, IPC=0.211062
PERF: instrs=16258492, cycles=77031666, IPC=0.211062
PERF: instrs=2457113, cycles=4774040, IPC=0.514682
PERF: instrs=2457112, cycles=4772085, IPC=0.514893
PERF: instrs=2457112, cycles=4750341, IPC=0.517250
PERF: instrs=21106386, cycles=48926305, IPC=0.431391
PERF: instrs=2457112, cycles=4774036, IPC=0.514682
PERF: instrs=2457111, cycles=4772077, IPC=0.514893
PERF: instrs=2457111, cycles=4750333, IPC=0.517250
PERF: instrs=21106385, cycles=48926297, IPC=0.431391
PERF: instrs=2457114, cycles=4782993, IPC=0.513719
PERF: instrs=2457113, cycles=4787401, IPC=0.513246
PERF: instrs=2457113, cycles=4796789, IPC=0.512241
PERF: instrs=21106387, cycles=49456113, IPC=0.426770
PERF: instrs=21106387, cycles=49456113, IPC=0.426770
PERF: instrs=5654752, cycles=15573610, IPC=0.363098
