PERF: core0: instrs=60867, cycles=584828, IPC=0.104077
PERF: core1: instrs=52639, cycles=431706, IPC=0.121933
PERF: core2: instrs=52639, cycles=431707, IPC=0.121932
PERF: core3: instrs=52639, cycles=431708, IPC=0.121932
PERF: instrs=218784, cycles=584828, IPC=0.374100
PERF: core0: instrs=1135469, cycles=1480768, IPC=0.766811
PERF: core1: instrs=52637, cycles=421122, IPC=0.124992
PERF: core2: instrs=52637, cycles=242678, IPC=0.216901
PERF: core3: instrs=52589, cycles=242689, IPC=0.216693
PERF: instrs=1293332, cycles=1480768, IPC=0.873420
PERF: core0: instrs=60855, cycles=575765, IPC=0.105694
PERF: core1: instrs=52637, cycles=422886, IPC=0.124471
PERF: core2: instrs=52637, cycles=422857, IPC=0.124479
PERF: core3: instrs=52637, cycles=422858, IPC=0.124479
PERF: instrs=218766, cycles=575765, IPC=0.379957
PERF: core0: instrs=1127250, cycles=1395461, IPC=0.807798
PERF: core1: instrs=52636, cycles=242137, IPC=0.217381
PERF: core2: instrs=52636, cycles=419881, IPC=0.125359
PERF: core3: instrs=52636, cycles=242145, IPC=0.217374
PERF: instrs=1285158, cycles=1395461, IPC=0.920956
PERF: core0: instrs=60843, cycles=575590, IPC=0.105705
PERF: core1: instrs=52637, cycles=422886, IPC=0.124471
PERF: core2: instrs=52637, cycles=422857, IPC=0.124479
PERF: core3: instrs=52637, cycles=422858, IPC=0.124479
PERF: instrs=218754, cycles=575590, IPC=0.380052
PERF: core0: instrs=1119079, cycles=1391185, IPC=0.804407
PERF: core1: instrs=52636, cycles=242137, IPC=0.217381
PERF: core2: instrs=52636, cycles=419881, IPC=0.125359
PERF: core3: instrs=52636, cycles=242145, IPC=0.217374
PERF: instrs=1276987, cycles=1391185, IPC=0.917913
PERF: core0: instrs=60831, cycles=575413, IPC=0.105717
PERF: core1: instrs=52637, cycles=422886, IPC=0.124471
PERF: core2: instrs=52637, cycles=422857, IPC=0.124479
PERF: core3: instrs=52637, cycles=422858, IPC=0.124479
PERF: instrs=218742, cycles=575413, IPC=0.380148
PERF: core0: instrs=1110956, cycles=1378567, IPC=0.805877
PERF: core1: instrs=52636, cycles=242137, IPC=0.217381
PERF: core2: instrs=52636, cycles=419881, IPC=0.125359
PERF: core3: instrs=52636, cycles=242145, IPC=0.217374
PERF: instrs=1268864, cycles=1378567, IPC=0.920422
PERF: core0: instrs=60819, cycles=575219, IPC=0.105732
