PERF: core0: instrs=24191, cycles=337771, IPC=0.071620
PERF: core1: instrs=11858, cycles=136608, IPC=0.086803
PERF: core2: instrs=11858, cycles=136605, IPC=0.086805
PERF: core3: instrs=11858, cycles=138442, IPC=0.085653
PERF: core4: instrs=11858, cycles=135699, IPC=0.087385
PERF: core5: instrs=11858, cycles=135772, IPC=0.087338
PERF: core6: instrs=11858, cycles=135701, IPC=0.087383
PERF: core7: instrs=11858, cycles=136843, IPC=0.086654
PERF: core8: instrs=11858, cycles=135553, IPC=0.087479
PERF: core9: instrs=11858, cycles=135554, IPC=0.087478
PERF: core10: instrs=11858, cycles=135946, IPC=0.087226
PERF: core11: instrs=11858, cycles=135552, IPC=0.087479
PERF: core12: instrs=11858, cycles=138264, IPC=0.085763
PERF: core13: instrs=11858, cycles=138194, IPC=0.085807
PERF: core14: instrs=11858, cycles=137719, IPC=0.086103
PERF: core15: instrs=11858, cycles=137716, IPC=0.086105
PERF: instrs=202061, cycles=337771, IPC=0.598219
PERF: core0: instrs=11379104, cycles=67679217, IPC=0.168133
PERF: core1: instrs=11496014, cycles=68716186, IPC=0.167297
PERF: core2: instrs=11496014, cycles=68739519, IPC=0.167240
PERF: core3: instrs=11496043, cycles=68588255, IPC=0.167609
PERF: core4: instrs=11496072, cycles=68731547, IPC=0.167260
PERF: core5: instrs=11496072, cycles=68713922, IPC=0.167303
PERF: core6: instrs=11496072, cycles=68530983, IPC=0.167750
PERF: core7: instrs=11544212, cycles=69389815, IPC=0.166368
PERF: core8: instrs=11652527, cycles=69910351, IPC=0.166678
PERF: core9: instrs=11652527, cycles=69981800, IPC=0.166508
PERF: core10: instrs=11652527, cycles=70010664, IPC=0.166439
PERF: core11: instrs=11652527, cycles=69888327, IPC=0.166731
PERF: core12: instrs=11652527, cycles=70025286, IPC=0.166405
PERF: core13: instrs=11652527, cycles=70031310, IPC=0.166390
PERF: core14: instrs=11652527, cycles=69863716, IPC=0.166789
PERF: core15: instrs=11652527, cycles=69952524, IPC=0.166578
PERF: instrs=185119819, cycles=70031310, IPC=2.643387
PERF: core0: instrs=24382, cycles=340291, IPC=0.071650
PERF: core1: instrs=12061, cycles=139248, IPC=0.086615
PERF: core2: instrs=12061, cycles=140546, IPC=0.085815
PERF: core3: instrs=12061, cycles=139246, IPC=0.086616
PERF: core4: instrs=12061, cycles=139244, IPC=0.086618
PERF: core5: instrs=12061, cycles=139247, IPC=0.086616
PERF: core6: instrs=12061, cycles=139246, IPC=0.086616
PERF: core7: instrs=12061, cycles=139245, IPC=0.086617
PERF: core8: instrs=12061, cycles=139948, IPC=0.086182
PERF: core9: instrs=12061, cycles=139252, IPC=0.086613
PERF: core10: instrs=12061, cycles=139253, IPC=0.086612
PERF: core11: instrs=12061, cycles=139250, IPC=0.086614
PERF: core12: instrs=12061, cycles=141097, IPC=0.085480
PERF: core13: instrs=12061, cycles=141094, IPC=0.085482
PERF: core14: instrs=12061, cycles=141096, IPC=0.085481
PERF: core15: instrs=12061, cycles=141095, IPC=0.085481
PERF: instrs=205297, cycles=340291, IPC=0.603298
PERF: core0: instrs=11340114, cycles=67423715, IPC=0.168192
PERF: core1: instrs=11456747, cycles=68333573, IPC=0.167659
PERF: core2: instrs=11456747, cycles=68352610, IPC=0.167612
PERF: core3: instrs=11456776, cycles=68225964, IPC=0.167924
PERF: core4: instrs=11456805, cycles=68372621, IPC=0.167564
PERF: core5: instrs=11456805, cycles=68408298, IPC=0.167477
PERF: core6: instrs=11456805, cycles=68431553, IPC=0.167420
PERF: core7: instrs=11504829, cycles=69100981, IPC=0.166493
PERF: core8: instrs=11612883, cycles=69723922, IPC=0.166555
PERF: core9: instrs=11612883, cycles=69562126, IPC=0.166943
PERF: core10: instrs=11612883, cycles=69592639, IPC=0.166869
PERF: core11: instrs=11612883, cycles=69717149, IPC=0.166571
PERF: core12: instrs=11612883, cycles=69722109, IPC=0.166560
PERF: core13: instrs=11612883, cycles=69729694, IPC=0.166541
PERF: core14: instrs=11612883, cycles=69698720, IPC=0.166615
PERF: core15: instrs=10987563, cycles=69135221, IPC=0.158929
PERF: instrs=183863372, cycles=69729694, IPC=2.636802
PERF: core0: instrs=24370, cycles=340195, IPC=0.071635
PERF: core1: instrs=12061, cycles=139890, IPC=0.086218
PERF: core2: instrs=12061, cycles=139886, IPC=0.086220
PERF: core3: instrs=12061, cycles=139887, IPC=0.086220
PERF: core4: instrs=12061, cycles=141040, IPC=0.085515
PERF: core5: instrs=12061, cycles=141038, IPC=0.085516
PERF: core6: instrs=12061, cycles=141039, IPC=0.085515
PERF: core7: instrs=12061, cycles=141037, IPC=0.085517
PERF: core8: instrs=12061, cycles=141160, IPC=0.085442
PERF: core9: instrs=12061, cycles=143999, IPC=0.083758
PERF: core10: instrs=12061, cycles=141158, IPC=0.085443
PERF: core11: instrs=12061, cycles=141159, IPC=0.085443
PERF: core12: instrs=12061, cycles=139893, IPC=0.086216
PERF: core13: instrs=12061, cycles=139890, IPC=0.086218
PERF: core14: instrs=12061, cycles=139891, IPC=0.086217
PERF: core15: instrs=12061, cycles=140040, IPC=0.086125
PERF: instrs=205285, cycles=340195, IPC=0.603433
PERF: core0: instrs=11300923, cycles=67225986, IPC=0.168103
PERF: core1: instrs=11417279, cycles=68051776, IPC=0.167773
PERF: core2: instrs=11417279, cycles=68205747, IPC=0.167395
PERF: core3: instrs=11417308, cycles=68094239, IPC=0.167669
PERF: core4: instrs=11417337, cycles=68231703, IPC=0.167332
PERF: core5: instrs=11417337, cycles=68227928, IPC=0.167341
PERF: core6: instrs=11417337, cycles=67997076, IPC=0.167909
PERF: core7: instrs=11465245, cycles=68876515, IPC=0.166461
PERF: core8: instrs=11573038, cycles=69563152, IPC=0.166367
PERF: core9: instrs=11573038, cycles=69472696, IPC=0.166584
PERF: core10: instrs=11573038, cycles=69268736, IPC=0.167074
PERF: core11: instrs=11573038, cycles=69360391, IPC=0.166854
PERF: core12: instrs=11573038, cycles=69524577, IPC=0.166460
PERF: core13: instrs=11573038, cycles=69496417, IPC=0.166527
PERF: core14: instrs=11573038, cycles=69512259, IPC=0.166489
PERF: core15: instrs=10328500, cycles=68887833, IPC=0.149932
PERF: instrs=182609811, cycles=69563152, IPC=2.625094
PERF: core0: instrs=24358, cycles=338693, IPC=0.071918
PERF: core1: instrs=12061, cycles=138189, IPC=0.087279
PERF: core2: instrs=12061, cycles=138523, IPC=0.087069
PERF: core3: instrs=12061, cycles=139284, IPC=0.086593
PERF: core4: instrs=12061, cycles=140075, IPC=0.086104
PERF: core5: instrs=12061, cycles=140076, IPC=0.086103
PERF: core6: instrs=12061, cycles=142849, IPC=0.084432
PERF: core7: instrs=12061, cycles=140651, IPC=0.085751
PERF: core8: instrs=12061, cycles=140768, IPC=0.085680
PERF: core9: instrs=12061, cycles=142790, IPC=0.084467
PERF: core10: instrs=12061, cycles=139943, IPC=0.086185
PERF: core11: instrs=12061, cycles=139944, IPC=0.086184
PERF: core12: instrs=12061, cycles=138188, IPC=0.087280
PERF: core13: instrs=12061, cycles=138186, IPC=0.087281
PERF: core14: instrs=12061, cycles=138558, IPC=0.087047
PERF: core15: instrs=12061, cycles=138185, IPC=0.087282
PERF: instrs=205273, cycles=338693, IPC=0.606074
PERF: core0: instrs=11261732, cycles=66977804, IPC=0.168141
PERF: core1: instrs=11377811, cycles=67825008, IPC=0.167752
PERF: core2: instrs=11377811, cycles=67892535, IPC=0.167586
PERF: core3: instrs=11377840, cycles=67735021, IPC=0.167976
PERF: core4: instrs=11377869, cycles=67943507, IPC=0.167461
PERF: core5: instrs=11377869, cycles=67875867, IPC=0.167628
PERF: core6: instrs=11377869, cycles=67936876, IPC=0.167477
PERF: core7: instrs=11425661, cycles=68607422, IPC=0.166537
PERF: core8: instrs=11533193, cycles=69279523, IPC=0.166473
PERF: core9: instrs=11533193, cycles=69140992, IPC=0.166807
PERF: core10: instrs=11533193, cycles=69282230, IPC=0.166467
PERF: core11: instrs=11533193, cycles=69118385, IPC=0.166861
PERF: core12: instrs=11533193, cycles=69169500, IPC=0.166738
PERF: core13: instrs=11533193, cycles=69179158, IPC=0.166715
PERF: core14: instrs=11533193, cycles=69071295, IPC=0.166975
PERF: core15: instrs=9675539, cycles=68300959, IPC=0.141660
PERF: instrs=181362352, cycles=69282230, IPC=2.617733
PERF: core0: instrs=24346, cycles=340242, IPC=0.071555
PERF: core1: instrs=12061, cycles=139837, IPC=0.086250
PERF: core2: instrs=12061, cycles=139834, IPC=0.086252
PERF: core3: instrs=12061, cycles=139835, IPC=0.086252
PERF: core4: instrs=12061, cycles=138016, IPC=0.087388
PERF: core5: instrs=12061, cycles=138017, IPC=0.087388
PERF: core6: instrs=12061, cycles=138014, IPC=0.087390
PERF: core7: instrs=12061, cycles=139667, IPC=0.086355
PERF: core8: instrs=12061, cycles=140762, IPC=0.085684
PERF: core9: instrs=12061, cycles=140761, IPC=0.085684
PERF: core10: instrs=12061, cycles=140763, IPC=0.085683
PERF: core11: instrs=12061, cycles=140760, IPC=0.085685
PERF: core12: instrs=12061, cycles=138076, IPC=0.087350
PERF: core13: instrs=12061, cycles=138077, IPC=0.087350
PERF: core14: instrs=12061, cycles=138020, IPC=0.087386
PERF: core15: instrs=12061, cycles=138021, IPC=0.087385
PERF: instrs=205261, cycles=340242, IPC=0.603279
PERF: core0: instrs=11222541, cycles=66625558, IPC=0.168442
PERF: core1: instrs=11338343, cycles=67509207, IPC=0.167953
PERF: core2: instrs=11338343, cycles=67656923, IPC=0.167586
PERF: core3: instrs=11338372, cycles=67466077, IPC=0.168060
PERF: core4: instrs=11338401, cycles=67663579, IPC=0.167570
PERF: core5: instrs=11338401, cycles=67561760, IPC=0.167823
PERF: core6: instrs=11338401, cycles=67676912, IPC=0.167537
PERF: core7: instrs=11386077, cycles=68304390, IPC=0.166696
PERF: core8: instrs=11493348, cycles=68942310, IPC=0.166710
PERF: core9: instrs=11493348, cycles=68936652, IPC=0.166723
PERF: core10: instrs=11493348, cycles=68891922, IPC=0.166832
PERF: core11: instrs=11493348, cycles=68857594, IPC=0.166915
PERF: core12: instrs=11493348, cycles=68580639, IPC=0.167589
PERF: core13: instrs=11493348, cycles=68800532, IPC=0.167053
PERF: core14: instrs=11493348, cycles=68729141, IPC=0.167227
PERF: core15: instrs=9028680, cycles=67856404, IPC=0.133056
PERF: instrs=180120995, cycles=68942310, IPC=2.612634
PERF: core0: instrs=24334, cycles=340291, IPC=0.071509
PERF: core1: instrs=12061, cycles=140062, IPC=0.086112
PERF: core2: instrs=12061, cycles=140063, IPC=0.086111
PERF: core3: instrs=12061, cycles=140064, IPC=0.086111
PERF: core4: instrs=12061, cycles=137893, IPC=0.087466
PERF: core5: instrs=12061, cycles=137894, IPC=0.087466
PERF: core6: instrs=12061, cycles=137896, IPC=0.087464
PERF: core7: instrs=12061, cycles=139236, IPC=0.086623
PERF: core8: instrs=12061, cycles=139265, IPC=0.086605
PERF: core9: instrs=12061, cycles=137890, IPC=0.087468
PERF: core10: instrs=12061, cycles=137891, IPC=0.087468
PERF: core11: instrs=12062, cycles=138020, IPC=0.087393
PERF: core12: instrs=12061, cycles=139135, IPC=0.086686
PERF: core13: instrs=12061, cycles=139137, IPC=0.086684
PERF: core14: instrs=12061, cycles=139136, IPC=0.086685
PERF: core15: instrs=12061, cycles=139138, IPC=0.086684
PERF: instrs=205250, cycles=340291, IPC=0.603160
PERF: core0: instrs=11183350, cycles=66446923, IPC=0.168305
PERF: core1: instrs=11298875, cycles=67367861, IPC=0.167719
PERF: core2: instrs=11298875, cycles=67378447, IPC=0.167693
PERF: core3: instrs=11298904, cycles=67171847, IPC=0.168209
PERF: core4: instrs=11298933, cycles=67380215, IPC=0.167689
