PERF: core0: instrs=21716, cycles=308615, IPC=0.070366
PERF: core1: instrs=11831, cycles=149047, IPC=0.079378
PERF: core2: instrs=11831, cycles=149518, IPC=0.079128
PERF: core3: instrs=11833, cycles=147657, IPC=0.080138
PERF: core4: instrs=11831, cycles=150896, IPC=0.078405
PERF: core5: instrs=11832, cycles=148063, IPC=0.079912
PERF: core6: instrs=11833, cycles=148046, IPC=0.079928
PERF: core7: instrs=11831, cycles=148850, IPC=0.079483
PERF: core8: instrs=11833, cycles=145215, IPC=0.081486
PERF: core9: instrs=11831, cycles=149567, IPC=0.079102
PERF: core10: instrs=11831, cycles=148886, IPC=0.079463
PERF: core11: instrs=11831, cycles=151177, IPC=0.078259
PERF: core12: instrs=11833, cycles=147411, IPC=0.080272
PERF: core13: instrs=11831, cycles=148237, IPC=0.079811
PERF: core14: instrs=11831, cycles=148645, IPC=0.079592
PERF: core15: instrs=11831, cycles=149308, IPC=0.079239
PERF: instrs=199190, cycles=308615, IPC=0.645432
PERF: core0: instrs=69206, cycles=491265, IPC=0.140873
PERF: core1: instrs=12110, cycles=149926, IPC=0.080773
PERF: core2: instrs=12108, cycles=152261, IPC=0.079521
PERF: core3: instrs=12108, cycles=151779, IPC=0.079774
PERF: core4: instrs=12110, cycles=148661, IPC=0.081461
PERF: core5: instrs=12108, cycles=149089, IPC=0.081213
PERF: core6: instrs=12108, cycles=151850, IPC=0.079737
PERF: core7: instrs=12108, cycles=151138, IPC=0.080112
PERF: core8: instrs=12110, cycles=146895, IPC=0.082440
PERF: core9: instrs=12108, cycles=153216, IPC=0.079026
PERF: core10: instrs=12108, cycles=153229, IPC=0.079019
PERF: core11: instrs=12108, cycles=152562, IPC=0.079364
PERF: core12: instrs=12108, cycles=152896, IPC=0.079191
PERF: core13: instrs=12110, cycles=149227, IPC=0.081152
PERF: core14: instrs=12108, cycles=150534, IPC=0.080434
PERF: core15: instrs=12108, cycles=152122, IPC=0.079594
PERF: instrs=250834, cycles=491265, IPC=0.510588
PERF: core0: instrs=21936, cycles=318493, IPC=0.068874
PERF: core1: instrs=12065, cycles=152501, IPC=0.079114
