PERF: instrs=21638, cycles=253327, IPC=0.085415
PERF: instrs=1018382, cycles=2874657, IPC=0.354262
PERF: instrs=21829, cycles=255905, IPC=0.085301
PERF: instrs=929989, cycles=2700259, IPC=0.344407
PERF: instrs=21817, cycles=255722, IPC=0.085315
PERF: instrs=847352, cycles=2569062, IPC=0.329829
PERF: instrs=21805, cycles=255559, IPC=0.085323
PERF: instrs=770643, cycles=2425008, IPC=0.317790
PERF: instrs=21793, cycles=255327, IPC=0.085353
PERF: instrs=699862, cycles=2290475, IPC=0.305553
PERF: instrs=21781, cycles=255207, IPC=0.085346
PERF: instrs=635009, cycles=2134811, IPC=0.297454
PERF: instrs=21769, cycles=255021, IPC=0.085362
PERF: instrs=576374, cycles=1999545, IPC=0.288253
PERF: instrs=21757, cycles=254856, IPC=0.085370
PERF: instrs=523843, cycles=1881178, IPC=0.278465
PERF: instrs=21745, cycles=254675, IPC=0.085383
PERF: instrs=477122, cycles=1745456, IPC=0.273351
PERF: instrs=21733, cycles=254461, IPC=0.085408
PERF: instrs=436213, cycles=1624587, IPC=0.268507
PERF: instrs=21719, cycles=254310, IPC=0.085404
PERF: instrs=401114, cycles=1497750, IPC=0.267811
PERF: instrs=21707, cycles=254099, IPC=0.085427
PERF: instrs=371829, cycles=1377224, IPC=0.269984
PERF: instrs=21695, cycles=253961, IPC=0.085427
PERF: instrs=21637, cycles=253321, IPC=0.085413
PERF: instrs=1018381, cycles=2874645, IPC=0.354263
PERF: instrs=21828, cycles=255899, IPC=0.085299
PERF: instrs=929988, cycles=2700263, IPC=0.344406
PERF: instrs=21816, cycles=255716, IPC=0.085313
PERF: instrs=21465, cycles=250777, IPC=0.085594
PERF: instrs=68299, cycles=280684, IPC=0.243331
PERF: instrs=21685, cycles=253779, IPC=0.085448
PERF: instrs=51026, cycles=248762, IPC=0.205120
PERF: instrs=21673, cycles=253564, IPC=0.085473
PERF: instrs=39333, cycles=217425, IPC=0.180904
