PERF: instrs=21637, cycles=250872, IPC=0.086247
PERF: instrs=1018861, cycles=2825436, IPC=0.360603
PERF: instrs=21828, cycles=253254, IPC=0.086190
PERF: instrs=930422, cycles=2656150, IPC=0.350290
PERF: instrs=21816, cycles=253074, IPC=0.086204
PERF: instrs=847741, cycles=2524636, IPC=0.335787
PERF: instrs=21804, cycles=252903, IPC=0.086215
PERF: instrs=770990, cycles=2387949, IPC=0.322867
PERF: instrs=21792, cycles=252718, IPC=0.086231
PERF: instrs=700169, cycles=2255550, IPC=0.310421
PERF: instrs=21780, cycles=252554, IPC=0.086239
PERF: instrs=635278, cycles=2105311, IPC=0.301750
PERF: instrs=21768, cycles=252333, IPC=0.086267
PERF: instrs=576607, cycles=1978478, IPC=0.291440
PERF: instrs=21756, cycles=252203, IPC=0.086264
PERF: instrs=524042, cycles=1849230, IPC=0.283384
PERF: instrs=21744, cycles=252028, IPC=0.086276
PERF: instrs=477289, cycles=1726200, IPC=0.276497
PERF: instrs=21732, cycles=251854, IPC=0.086288
PERF: instrs=436350, cycles=1601689, IPC=0.272431
PERF: instrs=21718, cycles=251662, IPC=0.086298
PERF: instrs=401223, cycles=1482687, IPC=0.270605
PERF: instrs=21706, cycles=251447, IPC=0.086324
PERF: instrs=371912, cycles=1353068, IPC=0.274866
PERF: instrs=21694, cycles=251271, IPC=0.086337
PERF: instrs=348415, cycles=1236352, IPC=0.281809
PERF: instrs=21682, cycles=251097, IPC=0.086349
PERF: instrs=330732, cycles=1058962, IPC=0.312317
PERF: instrs=21670, cycles=250967, IPC=0.086346
PERF: instrs=318863, cycles=940744, IPC=0.338948
