PERF: instrs=21466, cycles=248017, IPC=0.086551
PERF: instrs=68233, cycles=272738, IPC=0.250178
PERF: instrs=21686, cycles=250959, IPC=0.086413
PERF: instrs=50980, cycles=243656, IPC=0.209229
PERF: instrs=21674, cycles=250790, IPC=0.086423
PERF: instrs=39299, cycles=209038, IPC=0.187999
PERF: instrs=37396, cycles=435681, IPC=0.085833
PERF: instrs=70606, cycles=281453, IPC=0.250862
PERF: instrs=37596, cycles=438373, IPC=0.085763
PERF: instrs=52673, cycles=248862, IPC=0.211655
PERF: instrs=37564, cycles=437970, IPC=0.085768
PERF: instrs=40510, cycles=213968, IPC=0.189327
PERF: instrs=37395, cycles=435824, IPC=0.085803
PERF: instrs=70605, cycles=273206, IPC=0.258431
PERF: instrs=37595, cycles=438518, IPC=0.085732
PERF: instrs=52672, cycles=243272, IPC=0.216515
PERF: instrs=37563, cycles=438115, IPC=0.085738
PERF: instrs=40509, cycles=211714, IPC=0.191338
PERF: instrs=37395, cycles=435824, IPC=0.085803
PERF: instrs=70605, cycles=273206, IPC=0.258431
PERF: instrs=37595, cycles=438518, IPC=0.085732
PERF: instrs=52672, cycles=243272, IPC=0.216515
PERF: instrs=37563, cycles=438115, IPC=0.085738
PERF: instrs=40509, cycles=211714, IPC=0.191338
PERF: instrs=37396, cycles=435830, IPC=0.085804
PERF: instrs=70606, cycles=273206, IPC=0.258435
PERF: instrs=37596, cycles=438524, IPC=0.085733
PERF: instrs=52673, cycles=243324, IPC=0.216473
PERF: instrs=37564, cycles=438121, IPC=0.085739
PERF: instrs=40510, cycles=211766, IPC=0.191296
PERF: instrs=21467, cycles=248342, IPC=0.086441
PERF: instrs=68325, cycles=270186, IPC=0.252881
PERF: instrs=21687, cycles=251151, IPC=0.086350
PERF: instrs=51042, cycles=240604, IPC=0.212141
PERF: instrs=21675, cycles=250982, IPC=0.086361
PERF: instrs=39341, cycles=209541, IPC=0.187748
