PERF: core0: instrs=96965, cycles=633583, IPC=0.153042
PERF: core1: instrs=52643, cycles=436003, IPC=0.120740
PERF: core2: instrs=52643, cycles=436004, IPC=0.120740
PERF: core3: instrs=52643, cycles=436002, IPC=0.120740
PERF: instrs=254894, cycles=633583, IPC=0.402306
PERF: core0: instrs=785423, cycles=9461705, IPC=0.083011
PERF: core1: instrs=765390, cycles=9429251, IPC=0.081172
PERF: core2: instrs=765390, cycles=9413234, IPC=0.081310
PERF: core3: instrs=765068, cycles=9392668, IPC=0.081454
PERF: instrs=3081271, cycles=9461705, IPC=0.325657
PERF: core0: instrs=96942, cycles=625595, IPC=0.154960
PERF: core1: instrs=52641, cycles=433436, IPC=0.121450
PERF: core2: instrs=52641, cycles=433687, IPC=0.121380
PERF: core3: instrs=52641, cycles=433710, IPC=0.121374
PERF: instrs=254865, cycles=625595, IPC=0.407396
PERF: core0: instrs=784446, cycles=9467612, IPC=0.082856
PERF: core1: instrs=764430, cycles=9416989, IPC=0.081176
PERF: core2: instrs=764430, cycles=9431566, IPC=0.081050
PERF: core3: instrs=764202, cycles=9427465, IPC=0.081061
PERF: instrs=3077508, cycles=9467612, IPC=0.325056
PERF: core0: instrs=96919, cycles=633173, IPC=0.153069
PERF: core1: instrs=52641, cycles=439199, IPC=0.119857
PERF: core2: instrs=52641, cycles=439195, IPC=0.119858
PERF: core3: instrs=52641, cycles=439346, IPC=0.119817
PERF: instrs=254842, cycles=633173, IPC=0.402484
PERF: core0: instrs=783469, cycles=9476235, IPC=0.082677
PERF: core1: instrs=763468, cycles=9367668, IPC=0.081500
PERF: core2: instrs=763470, cycles=9414488, IPC=0.081095
PERF: core3: instrs=757180, cycles=9431723, IPC=0.080280
PERF: instrs=3067587, cycles=9476235, IPC=0.323714
PERF: core0: instrs=96896, cycles=621821, IPC=0.155826
PERF: core1: instrs=52641, cycles=428174, IPC=0.122943
PERF: core2: instrs=52641, cycles=427967, IPC=0.123002
PERF: core3: instrs=52641, cycles=427968, IPC=0.123002
PERF: instrs=254819, cycles=621821, IPC=0.409795
PERF: core0: instrs=782492, cycles=9496697, IPC=0.082396
PERF: core1: instrs=762508, cycles=9443644, IPC=0.080743
PERF: core2: instrs=762510, cycles=9463483, IPC=0.080574
PERF: core3: instrs=756332, cycles=9410247, IPC=0.080373
PERF: instrs=3063842, cycles=9496697, IPC=0.322622
PERF: core0: instrs=96873, cycles=632820, IPC=0.153081
PERF: core1: instrs=52641, cycles=439199, IPC=0.119857
PERF: core2: instrs=52641, cycles=439195, IPC=0.119858
PERF: core3: instrs=52641, cycles=439346, IPC=0.119817
PERF: instrs=254796, cycles=632820, IPC=0.402636
PERF: core0: instrs=781515, cycles=9508082, IPC=0.082195
PERF: core1: instrs=761550, cycles=9451981, IPC=0.080570
PERF: core2: instrs=761550, cycles=9471829, IPC=0.080402
PERF: core3: instrs=749392, cycles=9391936, IPC=0.079791
PERF: instrs=3054007, cycles=9508082, IPC=0.321201
PERF: core0: instrs=96850, cycles=632601, IPC=0.153098
PERF: core1: instrs=52641, cycles=439199, IPC=0.119857
PERF: core2: instrs=52641, cycles=439195, IPC=0.119858
PERF: core3: instrs=52641, cycles=439346, IPC=0.119817
PERF: instrs=254773, cycles=632601, IPC=0.402739
PERF: core0: instrs=780538, cycles=9485290, IPC=0.082289
PERF: core1: instrs=760590, cycles=9443974, IPC=0.080537
PERF: core2: instrs=760588, cycles=9386483, IPC=0.081030
PERF: core3: instrs=748570, cycles=9421968, IPC=0.079449
PERF: instrs=3050286, cycles=9485290, IPC=0.321581
PERF: core0: instrs=96827, cycles=621108, IPC=0.155894
PERF: core1: instrs=52641, cycles=428174, IPC=0.122943
PERF: core2: instrs=52641, cycles=427967, IPC=0.123002
PERF: core3: instrs=52641, cycles=427968, IPC=0.123002
PERF: instrs=254750, cycles=621108, IPC=0.410154
PERF: core0: instrs=779561, cycles=9438099, IPC=0.082597
PERF: core1: instrs=759630, cycles=9394178, IPC=0.080862
PERF: core2: instrs=759630, cycles=9366926, IPC=0.081097
PERF: core3: instrs=741710, cycles=9326646, IPC=0.079526
PERF: instrs=3040531, cycles=9438099, IPC=0.322155
PERF: core0: instrs=96804, cycles=621911, IPC=0.155656
PERF: core1: instrs=52641, cycles=428174, IPC=0.122943
PERF: core2: instrs=52641, cycles=427967, IPC=0.123002
PERF: core3: instrs=52641, cycles=427968, IPC=0.123002
PERF: instrs=254727, cycles=621911, IPC=0.409588
PERF: core0: instrs=778584, cycles=9479075, IPC=0.082137
PERF: core1: instrs=758670, cycles=9455902, IPC=0.080232
PERF: core2: instrs=758670, cycles=9413621, IPC=0.080593
PERF: core3: instrs=740910, cycles=9388845, IPC=0.078914
PERF: instrs=3036834, cycles=9479075, IPC=0.320372
PERF: core0: instrs=96781, cycles=630168, IPC=0.153580
PERF: core1: instrs=52641, cycles=434197, IPC=0.121238
PERF: core2: instrs=52641, cycles=434362, IPC=0.121192
PERF: core3: instrs=52641, cycles=434195, IPC=0.121238
PERF: instrs=254704, cycles=630168, IPC=0.404184
PERF: core0: instrs=777607, cycles=9471327, IPC=0.082101
PERF: core1: instrs=757710, cycles=9424180, IPC=0.080401
PERF: core2: instrs=757710, cycles=9439541, IPC=0.080270
PERF: core3: instrs=734132, cycles=9389325, IPC=0.078188
PERF: instrs=3027159, cycles=9471327, IPC=0.319613
PERF: core0: instrs=96758, cycles=628322, IPC=0.153994
PERF: core1: instrs=52641, cycles=434620, IPC=0.121120
PERF: core2: instrs=52641, cycles=434621, IPC=0.121119
PERF: core3: instrs=52641, cycles=434806, IPC=0.121068
PERF: instrs=254681, cycles=628322, IPC=0.405335
PERF: core0: instrs=776630, cycles=9477885, IPC=0.081941
PERF: core1: instrs=756750, cycles=9451173, IPC=0.080069
PERF: core2: instrs=756748, cycles=9416856, IPC=0.080361
PERF: core3: instrs=733354, cycles=9429441, IPC=0.077773
PERF: instrs=3023482, cycles=9477885, IPC=0.319004
PERF: core0: instrs=96735, cycles=632168, IPC=0.153021
PERF: core1: instrs=52641, cycles=437067, IPC=0.120441
PERF: core2: instrs=52641, cycles=437065, IPC=0.120442
PERF: core3: instrs=52641, cycles=437068, IPC=0.120441
PERF: instrs=254658, cycles=632168, IPC=0.402833
PERF: core0: instrs=775653, cycles=9452239, IPC=0.082060
PERF: core1: instrs=755790, cycles=9428797, IPC=0.080158
PERF: core2: instrs=755790, cycles=9422065, IPC=0.080215
PERF: core3: instrs=726658, cycles=9280283, IPC=0.078301
PERF: instrs=3013891, cycles=9452239, IPC=0.318855
PERF: core0: instrs=96712, cycles=633233, IPC=0.152727
PERF: core1: instrs=52641, cycles=439199, IPC=0.119857
PERF: core2: instrs=52641, cycles=439195, IPC=0.119858
PERF: core3: instrs=52641, cycles=439346, IPC=0.119817
PERF: instrs=254635, cycles=633233, IPC=0.402119
