PERF: core0: instrs=620801, cycles=1224568, IPC=0.506955
PERF: core1: instrs=21166, cycles=128680, IPC=0.164486
PERF: instrs=641967, cycles=1224568, IPC=0.524240
PERF: core0: instrs=-4995072469926809587, cycles=-4995072469926809587, IPC=1.000000
PERF: core1: instrs=36398, cycles=142611, IPC=0.255226
PERF: instrs=-4995072469926773189, cycles=-4995072469926809587, IPC=1.000000
PERF: core0: instrs=1302687, cycles=14953710, IPC=0.087115
PERF: core1: instrs=243944, cycles=353281, IPC=0.690510
PERF: instrs=1546631, cycles=14953710, IPC=0.103428
PERF: core0: instrs=-4995072469926809587, cycles=-4995072469926809587, IPC=1.000000
PERF: core1: instrs=36398, cycles=142614, IPC=0.255220
PERF: instrs=-4995072469926773189, cycles=-4995072469926809587, IPC=1.000000
PERF: core0: instrs=2309923, cycles=27202129, IPC=0.084917
PERF: core1: instrs=243945, cycles=354250, IPC=0.688624
PERF: instrs=2553868, cycles=27202129, IPC=0.093885
PERF: core0: instrs=-4995072469926809587, cycles=-4995072469926809587, IPC=1.000000
PERF: core1: instrs=36398, cycles=142611, IPC=0.255226
PERF: instrs=-4995072469926773189, cycles=-4995072469926809587, IPC=1.000000
PERF: core0: instrs=-4995072469926809587, cycles=-4995072469926809587, IPC=1.000000
PERF: core1: instrs=78056, cycles=183545, IPC=0.425269
PERF: instrs=-4995072469926731531, cycles=-4995072469926809587, IPC=1.000000
PERF: core0: instrs=2309923, cycles=27202129, IPC=0.084917
PERF: core1: instrs=243945, cycles=354250, IPC=0.688624
PERF: instrs=2553868, cycles=27202129, IPC=0.093885
PERF: core0: instrs=-4995072469926809587, cycles=-4995072469926809587, IPC=1.000000
PERF: core1: instrs=78056, cycles=183545, IPC=0.425269
PERF: instrs=-4995072469926731531, cycles=-4995072469926809587, IPC=1.000000
PERF: core0: instrs=-4995072469926809587, cycles=-4995072469926809587, IPC=1.000000
PERF: core1: instrs=78056, cycles=183545, IPC=0.425269
PERF: instrs=-4995072469926731531, cycles=-4995072469926809587, IPC=1.000000
PERF: core0: instrs=-4995072469926809587, cycles=-4995072469926809587, IPC=1.000000
PERF: core1: instrs=78056, cycles=183545, IPC=0.425269
PERF: instrs=-4995072469926731531, cycles=-4995072469926809587, IPC=1.000000
PERF: core0: instrs=620801, cycles=1224568, IPC=0.506955
PERF: core1: instrs=21166, cycles=128680, IPC=0.164486
PERF: instrs=641967, cycles=1224568, IPC=0.524240
