PERF: instrs=53616, cycles=283549, IPC=0.189089
PERF: instrs=267956, cycles=1043779, IPC=0.256717
PERF: instrs=3511558, cycles=9696759, IPC=0.362137
PERF: instrs=53848, cycles=286610, IPC=0.187879
PERF: instrs=192743, cycles=1014193, IPC=0.190046
PERF: instrs=78349, cycles=628464, IPC=0.124667
PERF: instrs=266247, cycles=1055909, IPC=0.252150
PERF: instrs=1642988, cycles=5215268, IPC=0.315034
PERF: instrs=78581, cycles=631558, IPC=0.124424
PERF: instrs=191604, cycles=1032062, IPC=0.185652
PERF: instrs=753176, cycles=2586403, IPC=0.291206
PERF: instrs=78581, cycles=631563, IPC=0.124423
PERF: instrs=116729, cycles=1006154, IPC=0.116015
PERF: instrs=220630, cycles=2509962, IPC=0.087902
PERF: instrs=78581, cycles=631562, IPC=0.124423
PERF: instrs=78349, cycles=628464, IPC=0.124667
PERF: instrs=266247, cycles=1055909, IPC=0.252150
PERF: instrs=1642988, cycles=5215268, IPC=0.315034
PERF: instrs=78581, cycles=631558, IPC=0.124424
PERF: instrs=191604, cycles=1032062, IPC=0.185652
PERF: instrs=753176, cycles=2586403, IPC=0.291206
PERF: instrs=78581, cycles=631563, IPC=0.124423
PERF: instrs=116729, cycles=1006154, IPC=0.116015
PERF: instrs=220630, cycles=2509962, IPC=0.087902
PERF: instrs=78581, cycles=631562, IPC=0.124423
PERF: instrs=78893, cycles=634632, IPC=0.124313
PERF: instrs=266791, cycles=1061439, IPC=0.251348
PERF: instrs=1643532, cycles=5196570, IPC=0.316272
PERF: instrs=79125, cycles=637719, IPC=0.124075
PERF: instrs=192148, cycles=1037890, IPC=0.185133
PERF: instrs=753720, cycles=2565354, IPC=0.293807
PERF: instrs=79125, cycles=637725, IPC=0.124074
PERF: instrs=117273, cycles=1012261, IPC=0.115853
PERF: instrs=221174, cycles=2516223, IPC=0.087899
PERF: instrs=79125, cycles=637727, IPC=0.124073
