PERF: core0: instrs=20052, cycles=243349, IPC=0.082400
PERF: core1: instrs=14281, cycles=173684, IPC=0.082224
PERF: core2: instrs=14281, cycles=173067, IPC=0.082517
PERF: core3: instrs=14284, cycles=171713, IPC=0.083185
PERF: core4: instrs=14284, cycles=172593, IPC=0.082761
PERF: core5: instrs=14281, cycles=176137, IPC=0.081079
PERF: core6: instrs=14281, cycles=174263, IPC=0.081951
PERF: core7: instrs=14284, cycles=172597, IPC=0.082759
PERF: core8: instrs=14284, cycles=173762, IPC=0.082204
PERF: core9: instrs=14281, cycles=174665, IPC=0.081762
PERF: core10: instrs=14284, cycles=173785, IPC=0.082194
PERF: core11: instrs=14281, cycles=173851, IPC=0.082145
PERF: core12: instrs=14284, cycles=168917, IPC=0.084562
PERF: core13: instrs=14281, cycles=173578, IPC=0.082274
PERF: core14: instrs=14281, cycles=174940, IPC=0.081634
PERF: core15: instrs=14281, cycles=173017, IPC=0.082541
PERF: instrs=234285, cycles=243349, IPC=0.962753
PERF: core0: instrs=23754, cycles=263316, IPC=0.090211
PERF: core1: instrs=14281, cycles=175359, IPC=0.081439
PERF: core2: instrs=14284, cycles=172109, IPC=0.082994
PERF: core3: instrs=14281, cycles=175360, IPC=0.081438
PERF: core4: instrs=14281, cycles=173457, IPC=0.082332
PERF: core5: instrs=14281, cycles=174481, IPC=0.081848
PERF: core6: instrs=14284, cycles=172794, IPC=0.082665
PERF: core7: instrs=14281, cycles=172974, IPC=0.082562
PERF: core8: instrs=14281, cycles=175056, IPC=0.081580
PERF: core9: instrs=14281, cycles=173537, IPC=0.082294
PERF: core10: instrs=14284, cycles=169229, IPC=0.084406
PERF: core11: instrs=14281, cycles=172446, IPC=0.082814
PERF: core12: instrs=14284, cycles=171835, IPC=0.083126
PERF: core13: instrs=14281, cycles=171954, IPC=0.083051
PERF: core14: instrs=14281, cycles=175087, IPC=0.081565
PERF: core15: instrs=14281, cycles=173155, IPC=0.082475
PERF: instrs=237981, cycles=263316, IPC=0.903785
PERF: core0: instrs=27456, cycles=285693, IPC=0.096103
PERF: core1: instrs=14281, cycles=175352, IPC=0.081442
PERF: core2: instrs=14284, cycles=172102, IPC=0.082997
PERF: core3: instrs=14281, cycles=175353, IPC=0.081441
PERF: core4: instrs=14281, cycles=173450, IPC=0.082335
PERF: core5: instrs=14281, cycles=174474, IPC=0.081852
PERF: core6: instrs=14284, cycles=172787, IPC=0.082668
PERF: core7: instrs=14281, cycles=172967, IPC=0.082565
PERF: core8: instrs=14281, cycles=175049, IPC=0.081583
PERF: core9: instrs=14281, cycles=173530, IPC=0.082297
PERF: core10: instrs=14284, cycles=169222, IPC=0.084410
PERF: core11: instrs=14281, cycles=172439, IPC=0.082818
PERF: core12: instrs=14284, cycles=171828, IPC=0.083130
PERF: core13: instrs=14281, cycles=171947, IPC=0.083055
PERF: core14: instrs=14281, cycles=175080, IPC=0.081568
PERF: core15: instrs=14281, cycles=173148, IPC=0.082479
PERF: instrs=241683, cycles=285693, IPC=0.845954
PERF: core0: instrs=31158, cycles=309630, IPC=0.100630
PERF: core1: instrs=14281, cycles=175382, IPC=0.081428
PERF: core2: instrs=14284, cycles=172132, IPC=0.082983
PERF: core3: instrs=14281, cycles=175383, IPC=0.081428
PERF: core4: instrs=14281, cycles=173480, IPC=0.082321
PERF: core5: instrs=14281, cycles=174504, IPC=0.081838
PERF: core6: instrs=14284, cycles=172817, IPC=0.082654
PERF: core7: instrs=14281, cycles=172997, IPC=0.082551
PERF: core8: instrs=14281, cycles=175079, IPC=0.081569
PERF: core9: instrs=14281, cycles=173560, IPC=0.082283
PERF: core10: instrs=14284, cycles=169252, IPC=0.084395
PERF: core11: instrs=14281, cycles=172469, IPC=0.082803
PERF: core12: instrs=14284, cycles=171858, IPC=0.083115
PERF: core13: instrs=14281, cycles=171977, IPC=0.083040
PERF: core14: instrs=14281, cycles=175110, IPC=0.081554
PERF: core15: instrs=14281, cycles=173178, IPC=0.082464
PERF: instrs=245385, cycles=309630, IPC=0.792510
PERF: core0: instrs=34860, cycles=332046, IPC=0.104985
PERF: core1: instrs=14281, cycles=175371, IPC=0.081433
PERF: core2: instrs=14284, cycles=172121, IPC=0.082988
PERF: core3: instrs=14281, cycles=175372, IPC=0.081433
PERF: core4: instrs=14281, cycles=173469, IPC=0.082326
PERF: core5: instrs=14281, cycles=174493, IPC=0.081843
PERF: core6: instrs=14284, cycles=172806, IPC=0.082659
PERF: core7: instrs=14281, cycles=172986, IPC=0.082556
PERF: core8: instrs=14281, cycles=175068, IPC=0.081574
PERF: core9: instrs=14281, cycles=173549, IPC=0.082288
PERF: core10: instrs=14284, cycles=169241, IPC=0.084400
PERF: core11: instrs=14281, cycles=172458, IPC=0.082809
PERF: core12: instrs=14284, cycles=171847, IPC=0.083120
PERF: core13: instrs=14281, cycles=171966, IPC=0.083045
PERF: core14: instrs=14281, cycles=175099, IPC=0.081560
PERF: core15: instrs=14281, cycles=173167, IPC=0.082470
PERF: instrs=249087, cycles=332046, IPC=0.750158
PERF: core0: instrs=38562, cycles=354904, IPC=0.108655
