PERF: instrs=19804, cycles=169796, IPC=0.116634
PERF: instrs=23450, cycles=189286, IPC=0.123887
PERF: instrs=27096, cycles=208957, IPC=0.129673
PERF: instrs=27035, cycles=192327, IPC=0.140568
PERF: instrs=30686, cycles=230840, IPC=0.132932
PERF: instrs=34332, cycles=250408, IPC=0.137104
PERF: instrs=37978, cycles=270069, IPC=0.140623
PERF: instrs=37919, cycles=197112, IPC=0.192373
PERF: instrs=41570, cycles=235696, IPC=0.176371
PERF: instrs=45243, cycles=255538, IPC=0.177050
PERF: instrs=48947, cycles=276043, IPC=0.177317
PERF: instrs=48917, cycles=202234, IPC=0.241883
PERF: instrs=52626, cycles=241008, IPC=0.218358
PERF: instrs=56330, cycles=261384, IPC=0.215507
PERF: instrs=60034, cycles=281861, IPC=0.212992
PERF: instrs=59948, cycles=206469, IPC=0.290349
PERF: instrs=63658, cycles=246446, IPC=0.258304
PERF: instrs=67362, cycles=266736, IPC=0.252542
PERF: instrs=71066, cycles=287110, IPC=0.247522
PERF: instrs=70716, cycles=266222, IPC=0.265628
PERF: instrs=74425, cycles=305061, IPC=0.243968
PERF: instrs=78129, cycles=325854, IPC=0.239767
PERF: instrs=81833, cycles=346197, IPC=0.236377
PERF: instrs=81476, cycles=270069, IPC=0.301686
PERF: instrs=85185, cycles=309140, IPC=0.275555
PERF: instrs=88887, cycles=329331, IPC=0.269902
PERF: instrs=92591, cycles=349432, IPC=0.264976
PERF: instrs=92234, cycles=273552, IPC=0.337172
PERF: instrs=95943, cycles=311878, IPC=0.307630
PERF: instrs=99647, cycles=332566, IPC=0.299631
PERF: instrs=103351, cycles=353052, IPC=0.292736
PERF: instrs=103012, cycles=278048, IPC=0.370483
PERF: instrs=103222, cycles=353512, IPC=0.291990
PERF: instrs=99522, cycles=333063, IPC=0.298808
PERF: instrs=95822, cycles=313177, IPC=0.305968
PERF: instrs=92117, cycles=273598, IPC=0.336687
PERF: instrs=92478, cycles=349960, IPC=0.264253
PERF: instrs=88778, cycles=329495, IPC=0.269437
PERF: instrs=85080, cycles=308819, IPC=0.275501
PERF: instrs=81375, cycles=270011, IPC=0.301377
PERF: instrs=81736, cycles=346961, IPC=0.235577
PERF: instrs=78036, cycles=326522, IPC=0.238992
PERF: instrs=74336, cycles=306363, IPC=0.242640
PERF: instrs=70631, cycles=266609, IPC=0.264924
PERF: instrs=70985, cycles=286981, IPC=0.247351
PERF: instrs=67285, cycles=266534, IPC=0.252444
PERF: instrs=63585, cycles=246239, IPC=0.258225
PERF: instrs=59879, cycles=206777, IPC=0.289582
PERF: instrs=59969, cycles=281475, IPC=0.213053
PERF: instrs=56269, cycles=261057, IPC=0.215543
PERF: instrs=52569, cycles=241070, IPC=0.218065
PERF: instrs=48864, cycles=201277, IPC=0.242770
PERF: instrs=48898, cycles=275541, IPC=0.177462
PERF: instrs=45198, cycles=255056, IPC=0.177208
PERF: instrs=41529, cycles=235156, IPC=0.176602
PERF: instrs=37882, cycles=196679, IPC=0.192608
PERF: instrs=37945, cycles=269961, IPC=0.140557
PERF: instrs=34303, cycles=250316, IPC=0.137039
PERF: instrs=30661, cycles=230774, IPC=0.132862
PERF: instrs=27014, cycles=192294, IPC=0.140483
PERF: instrs=27079, cycles=208842, IPC=0.129663
PERF: instrs=23437, cycles=189229, IPC=0.123855
PERF: instrs=19795, cycles=169648, IPC=0.116683
