PERF: instrs=34771, cycles=179460, IPC=0.193753
PERF: instrs=38480, cycles=198866, IPC=0.193497
PERF: instrs=42189, cycles=218503, IPC=0.193082
PERF: instrs=45898, cycles=238142, IPC=0.192734
PERF: instrs=49607, cycles=257691, IPC=0.192506
PERF: instrs=53316, cycles=278792, IPC=0.191239
PERF: instrs=57025, cycles=298712, IPC=0.190903
PERF: instrs=53103, cycles=243843, IPC=0.217775
PERF: instrs=56817, cycles=283027, IPC=0.200748
PERF: instrs=60553, cycles=302890, IPC=0.199917
PERF: instrs=64320, cycles=323445, IPC=0.198859
PERF: instrs=68087, cycles=343897, IPC=0.197987
PERF: instrs=71854, cycles=364296, IPC=0.197241
PERF: instrs=75621, cycles=386077, IPC=0.195870
PERF: instrs=79388, cycles=406710, IPC=0.195196
PERF: instrs=75408, cycles=250438, IPC=0.301104
PERF: instrs=79180, cycles=290839, IPC=0.272247
PERF: instrs=82947, cycles=311202, IPC=0.266537
PERF: instrs=86714, cycles=331886, IPC=0.261276
PERF: instrs=90481, cycles=352092, IPC=0.256981
PERF: instrs=94248, cycles=372742, IPC=0.252851
PERF: instrs=98015, cycles=394235, IPC=0.248621
PERF: instrs=101782, cycles=415165, IPC=0.245160
PERF: instrs=97684, cycles=258640, IPC=0.377683
PERF: instrs=101456, cycles=298450, IPC=0.339943
PERF: instrs=105221, cycles=319409, IPC=0.329424
PERF: instrs=108988, cycles=339457, IPC=0.321066
PERF: instrs=112755, cycles=359882, IPC=0.313311
PERF: instrs=116522, cycles=379873, IPC=0.306739
PERF: instrs=120289, cycles=402420, IPC=0.298914
PERF: instrs=124056, cycles=422799, IPC=0.293416
PERF: instrs=119960, cycles=267245, IPC=0.448877
PERF: instrs=123400, cycles=422284, IPC=0.292220
PERF: instrs=119654, cycles=401423, IPC=0.298075
PERF: instrs=115908, cycles=379206, IPC=0.305660
PERF: instrs=112162, cycles=359341, IPC=0.312132
PERF: instrs=108416, cycles=338478, IPC=0.320304
PERF: instrs=104670, cycles=318114, IPC=0.329033
PERF: instrs=100926, cycles=297495, IPC=0.339253
PERF: instrs=97175, cycles=257976, IPC=0.376682
PERF: instrs=101294, cycles=414703, IPC=0.244257
PERF: instrs=97548, cycles=393256, IPC=0.248052
PERF: instrs=93802, cycles=371582, IPC=0.252440
PERF: instrs=90056, cycles=351872, IPC=0.255934
PERF: instrs=86310, cycles=331288, IPC=0.260529
PERF: instrs=82564, cycles=310882, IPC=0.265580
PERF: instrs=78818, cycles=290622, IPC=0.271205
PERF: instrs=75067, cycles=250661, IPC=0.299476
PERF: instrs=79068, cycles=406344, IPC=0.194584
PERF: instrs=75322, cycles=385785, IPC=0.195243
PERF: instrs=71576, cycles=364011, IPC=0.196631
PERF: instrs=67830, cycles=343579, IPC=0.197422
PERF: instrs=64084, cycles=323074, IPC=0.198357
PERF: instrs=60338, cycles=302588, IPC=0.199406
PERF: instrs=56623, cycles=282656, IPC=0.200325
PERF: instrs=52930, cycles=243621, IPC=0.217264
PERF: instrs=56873, cycles=298436, IPC=0.190570
PERF: instrs=53185, cycles=278595, IPC=0.190904
PERF: instrs=49497, cycles=257660, IPC=0.192102
PERF: instrs=45809, cycles=237911, IPC=0.192547
PERF: instrs=42121, cycles=218318, IPC=0.192934
PERF: instrs=38433, cycles=198748, IPC=0.193376
PERF: instrs=34745, cycles=179161, IPC=0.193932
