PERF: core0: instrs=25146, cycles=145529, IPC=0.172790
PERF: core1: instrs=21527, cycles=129476, IPC=0.166262
PERF: core2: instrs=21527, cycles=129477, IPC=0.166261
PERF: core3: instrs=21527, cycles=129475, IPC=0.166264
PERF: instrs=89727, cycles=145529, IPC=0.616558
PERF: core0: instrs=28721, cycles=117490, IPC=0.244455
PERF: core1: instrs=21527, cycles=54729, IPC=0.393338
PERF: core2: instrs=21527, cycles=105428, IPC=0.204187
PERF: core3: instrs=21527, cycles=127109, IPC=0.169359
PERF: instrs=93302, cycles=127109, IPC=0.734031
PERF: core0: instrs=32296, cycles=143364, IPC=0.225273
PERF: core1: instrs=21527, cycles=125794, IPC=0.171129
PERF: core2: instrs=21527, cycles=125823, IPC=0.171090
PERF: core3: instrs=21527, cycles=54515, IPC=0.394882
PERF: instrs=96877, cycles=143364, IPC=0.675741
PERF: core0: instrs=35871, cycles=123166, IPC=0.291241
PERF: core1: instrs=21527, cycles=104360, IPC=0.206276
PERF: core2: instrs=21527, cycles=55285, IPC=0.389382
PERF: core3: instrs=21527, cycles=127019, IPC=0.169479
PERF: instrs=100452, cycles=127019, IPC=0.790842
PERF: core0: instrs=32298, cycles=118861, IPC=0.271729
PERF: core1: instrs=28721, cycles=119548, IPC=0.240247
PERF: core2: instrs=21527, cycles=55382, IPC=0.388700
PERF: core3: instrs=21527, cycles=125962, IPC=0.170901
PERF: instrs=104073, cycles=125962, IPC=0.826225
PERF: core0: instrs=32296, cycles=122743, IPC=0.263119
PERF: core1: instrs=32296, cycles=121165, IPC=0.266546
PERF: core2: instrs=21527, cycles=103731, IPC=0.207527
PERF: core3: instrs=21527, cycles=103732, IPC=0.207525
PERF: instrs=107646, cycles=122743, IPC=0.877003
PERF: core0: instrs=35873, cycles=125541, IPC=0.285747
PERF: core1: instrs=32296, cycles=124405, IPC=0.259604
PERF: core2: instrs=21527, cycles=128250, IPC=0.167852
PERF: core3: instrs=21527, cycles=59978, IPC=0.358915
PERF: instrs=111223, cycles=128250, IPC=0.867236
PERF: core0: instrs=35871, cycles=125623, IPC=0.285545
PERF: core1: instrs=35871, cycles=127169, IPC=0.282073
PERF: core2: instrs=21527, cycles=134156, IPC=0.160462
PERF: core3: instrs=21527, cycles=132695, IPC=0.162229
PERF: instrs=114796, cycles=134156, IPC=0.855690
PERF: core0: instrs=32296, cycles=119322, IPC=0.270663
PERF: core1: instrs=32296, cycles=135525, IPC=0.238303
PERF: core2: instrs=32296, cycles=124706, IPC=0.258977
PERF: core3: instrs=21527, cycles=125509, IPC=0.171518
PERF: instrs=118415, cycles=135525, IPC=0.873750
PERF: core0: instrs=35873, cycles=128422, IPC=0.279337
PERF: core1: instrs=32296, cycles=118269, IPC=0.273072
PERF: core2: instrs=32296, cycles=124025, IPC=0.260399
PERF: core3: instrs=21527, cycles=120687, IPC=0.178370
PERF: instrs=121992, cycles=128422, IPC=0.949931
PERF: core0: instrs=35873, cycles=149176, IPC=0.240474
PERF: core1: instrs=35873, cycles=150229, IPC=0.238789
PERF: core2: instrs=32296, cycles=147633, IPC=0.218759
PERF: core3: instrs=21527, cycles=122074, IPC=0.176344
PERF: instrs=125569, cycles=150229, IPC=0.835851
PERF: core0: instrs=35871, cycles=126838, IPC=0.282810
PERF: core1: instrs=35871, cycles=127515, IPC=0.281308
PERF: core2: instrs=35871, cycles=134671, IPC=0.266360
PERF: core3: instrs=21527, cycles=128963, IPC=0.166924
PERF: instrs=129140, cycles=134671, IPC=0.958930
PERF: core0: instrs=35873, cycles=135347, IPC=0.265045
PERF: core1: instrs=32296, cycles=126581, IPC=0.255141
PERF: core2: instrs=32296, cycles=128505, IPC=0.251321
