PERF: core0: instrs=7988796, cycles=11624755, IPC=0.687223
PERF: core1: instrs=52638, cycles=505303, IPC=0.104171
PERF: core2: instrs=52637, cycles=505299, IPC=0.104170
PERF: core3: instrs=52638, cycles=505301, IPC=0.104172
PERF: instrs=8146709, cycles=11624755, IPC=0.700807
PERF: core0: instrs=5827321, cycles=80005751, IPC=0.072836
PERF: core1: instrs=5827321, cycles=80005910, IPC=0.072836
PERF: core2: instrs=5782361, cycles=79948930, IPC=0.072326
PERF: core3: instrs=5782362, cycles=79763768, IPC=0.072494
PERF: instrs=23219365, cycles=80005910, IPC=0.290221
PERF: core0: instrs=5827321, cycles=80005751, IPC=0.072836
PERF: core1: instrs=5827321, cycles=80005910, IPC=0.072836
PERF: core2: instrs=5782361, cycles=79948930, IPC=0.072326
PERF: core3: instrs=5782362, cycles=79763768, IPC=0.072494
PERF: instrs=23219365, cycles=80005910, IPC=0.290221
PERF: core0: instrs=5827321, cycles=80005751, IPC=0.072836
PERF: core1: instrs=5827321, cycles=80005910, IPC=0.072836
PERF: core2: instrs=5782361, cycles=79948930, IPC=0.072326
PERF: core3: instrs=5782362, cycles=79763768, IPC=0.072494
PERF: instrs=23219365, cycles=80005910, IPC=0.290221
PERF: core0: instrs=156558, cycles=2004782, IPC=0.078092
PERF: core1: instrs=156558, cycles=2011092, IPC=0.077847
PERF: core2: instrs=151246, cycles=1991479, IPC=0.075947
PERF: core3: instrs=151247, cycles=1982301, IPC=0.076299
PERF: instrs=615609, cycles=2011092, IPC=0.306107
PERF: core0: instrs=156558, cycles=2004782, IPC=0.078092
PERF: core1: instrs=156558, cycles=2011092, IPC=0.077847
PERF: core2: instrs=151246, cycles=1991479, IPC=0.075947
PERF: core3: instrs=151247, cycles=1982301, IPC=0.076299
PERF: instrs=615609, cycles=2011092, IPC=0.306107
PERF: core0: instrs=159443, cycles=1997245, IPC=0.079831
PERF: core1: instrs=159438, cycles=2003400, IPC=0.079584
PERF: core2: instrs=153944, cycles=1960975, IPC=0.078504
PERF: core3: instrs=153946, cycles=1973794, IPC=0.077995
PERF: instrs=626771, cycles=2003400, IPC=0.312854
PERF: core0: instrs=162026, cycles=2051277, IPC=0.078988
PERF: core1: instrs=162026, cycles=2043063, IPC=0.079305
PERF: core2: instrs=156451, cycles=2027448, IPC=0.077166
PERF: core3: instrs=156450, cycles=2040687, IPC=0.076665
PERF: instrs=636953, cycles=2051277, IPC=0.310515
PERF: core0: instrs=161834, cycles=2048988, IPC=0.078982
PERF: core1: instrs=161834, cycles=2050600, IPC=0.078920
PERF: core2: instrs=156268, cycles=2045175, IPC=0.076408
PERF: core3: instrs=156271, cycles=2044498, IPC=0.076435
PERF: instrs=636207, cycles=2050600, IPC=0.310254
PERF: core0: instrs=161834, cycles=2048988, IPC=0.078982
PERF: core1: instrs=161834, cycles=2050600, IPC=0.078920
PERF: core2: instrs=156268, cycles=2045175, IPC=0.076408
PERF: core3: instrs=156271, cycles=2044498, IPC=0.076435
PERF: instrs=636207, cycles=2050600, IPC=0.310254
PERF: core0: instrs=161834, cycles=2048988, IPC=0.078982
PERF: core1: instrs=161834, cycles=2050600, IPC=0.078920
PERF: core2: instrs=156268, cycles=2045175, IPC=0.076408
PERF: core3: instrs=156271, cycles=2044498, IPC=0.076435
PERF: instrs=636207, cycles=2050600, IPC=0.310254
PERF: core0: instrs=178032, cycles=555078, IPC=0.320733
PERF: core1: instrs=52639, cycles=434725, IPC=0.121086
PERF: core2: instrs=52639, cycles=434726, IPC=0.121085
PERF: core3: instrs=52639, cycles=434724, IPC=0.121086
PERF: instrs=335949, cycles=555078, IPC=0.605228
PERF: core0: instrs=178032, cycles=555078, IPC=0.320733
PERF: core1: instrs=52639, cycles=434725, IPC=0.121086
PERF: core2: instrs=52639, cycles=434726, IPC=0.121085
PERF: core3: instrs=52639, cycles=434724, IPC=0.121086
PERF: instrs=335949, cycles=555078, IPC=0.605228
