PERF: core0: instrs=128161, cycles=1866392, IPC=0.068668
PERF: core1: instrs=12485, cycles=159982, IPC=0.078040
PERF: core2: instrs=12487, cycles=160278, IPC=0.077908
PERF: core3: instrs=12485, cycles=160004, IPC=0.078029
PERF: core4: instrs=12485, cycles=159140, IPC=0.078453
PERF: core5: instrs=12485, cycles=160712, IPC=0.077686
PERF: core6: instrs=12485, cycles=160203, IPC=0.077932
PERF: core7: instrs=12485, cycles=155884, IPC=0.080092
PERF: core8: instrs=12485, cycles=159237, IPC=0.078405
PERF: core9: instrs=12485, cycles=155880, IPC=0.080094
PERF: core10: instrs=12485, cycles=157114, IPC=0.079465
PERF: core11: instrs=12485, cycles=158475, IPC=0.078782
PERF: core12: instrs=12485, cycles=160689, IPC=0.077697
PERF: core13: instrs=12485, cycles=156455, IPC=0.079799
PERF: core14: instrs=12485, cycles=160490, IPC=0.077793
PERF: core15: instrs=12485, cycles=158650, IPC=0.078695
PERF: instrs=315438, cycles=1866392, IPC=0.169010
PERF: core0: instrs=128121, cycles=1870935, IPC=0.068480
PERF: core1: instrs=12460, cycles=159898, IPC=0.077925
PERF: core2: instrs=12461, cycles=155747, IPC=0.080008
PERF: core3: instrs=12460, cycles=159313, IPC=0.078211
PERF: core4: instrs=12460, cycles=159351, IPC=0.078192
PERF: core5: instrs=12460, cycles=161029, IPC=0.077377
PERF: core6: instrs=12460, cycles=157639, IPC=0.079041
PERF: core7: instrs=12460, cycles=161282, IPC=0.077256
PERF: core8: instrs=12460, cycles=160522, IPC=0.077622
PERF: core9: instrs=12460, cycles=160621, IPC=0.077574
PERF: core10: instrs=12460, cycles=155750, IPC=0.080000
PERF: core11: instrs=12460, cycles=159156, IPC=0.078288
PERF: core12: instrs=12460, cycles=161235, IPC=0.077279
PERF: core13: instrs=12460, cycles=160960, IPC=0.077411
PERF: core14: instrs=12460, cycles=157536, IPC=0.079093
PERF: core15: instrs=12460, cycles=156181, IPC=0.079779
PERF: instrs=315022, cycles=1870935, IPC=0.168377
PERF: core0: instrs=128130, cycles=1870989, IPC=0.068482
PERF: core1: instrs=12465, cycles=160181, IPC=0.077818
PERF: core2: instrs=12465, cycles=155073, IPC=0.080381
PERF: core3: instrs=12465, cycles=158791, IPC=0.078499
PERF: core4: instrs=12465, cycles=160157, IPC=0.077830
PERF: core5: instrs=12465, cycles=159329, IPC=0.078234
PERF: core6: instrs=12465, cycles=158094, IPC=0.078845
PERF: core7: instrs=12465, cycles=161121, IPC=0.077364
PERF: core8: instrs=12465, cycles=159331, IPC=0.078233
PERF: core9: instrs=12465, cycles=158421, IPC=0.078683
PERF: core10: instrs=12465, cycles=155531, IPC=0.080145
PERF: core11: instrs=12465, cycles=160744, IPC=0.077546
PERF: core12: instrs=12465, cycles=160134, IPC=0.077841
PERF: core13: instrs=12465, cycles=160769, IPC=0.077534
PERF: core14: instrs=12465, cycles=157541, IPC=0.079122
PERF: core15: instrs=12465, cycles=155077, IPC=0.080379
PERF: instrs=315105, cycles=1870989, IPC=0.168416
PERF: core0: instrs=128142, cycles=1871562, IPC=0.068468
PERF: core1: instrs=12489, cycles=159841, IPC=0.078134
PERF: core2: instrs=12489, cycles=155447, IPC=0.080342
PERF: core3: instrs=12489, cycles=158132, IPC=0.078978
PERF: core4: instrs=12489, cycles=158911, IPC=0.078591
PERF: core5: instrs=12489, cycles=160939, IPC=0.077601
PERF: core6: instrs=12489, cycles=157574, IPC=0.079258
PERF: core7: instrs=12489, cycles=160776, IPC=0.077680
PERF: core8: instrs=12489, cycles=159524, IPC=0.078289
PERF: core9: instrs=12489, cycles=158285, IPC=0.078902
PERF: core10: instrs=12489, cycles=155182, IPC=0.080480
PERF: core11: instrs=12489, cycles=160387, IPC=0.077868
PERF: core12: instrs=12489, cycles=158994, IPC=0.078550
PERF: core13: instrs=12489, cycles=160122, IPC=0.077997
PERF: core14: instrs=12489, cycles=158763, IPC=0.078664
PERF: core15: instrs=12489, cycles=155375, IPC=0.080380
PERF: instrs=315477, cycles=1871562, IPC=0.168563
PERF: core0: instrs=128153, cycles=1871705, IPC=0.068469
PERF: core1: instrs=12489, cycles=159841, IPC=0.078134
PERF: core2: instrs=12489, cycles=155447, IPC=0.080342
PERF: core3: instrs=12489, cycles=158132, IPC=0.078978
PERF: core4: instrs=12489, cycles=158911, IPC=0.078591
PERF: core5: instrs=12489, cycles=160939, IPC=0.077601
PERF: core6: instrs=12489, cycles=157574, IPC=0.079258
PERF: core7: instrs=12489, cycles=160776, IPC=0.077680
PERF: core8: instrs=12489, cycles=159524, IPC=0.078289
PERF: core9: instrs=12489, cycles=158285, IPC=0.078902
PERF: core10: instrs=12489, cycles=155182, IPC=0.080480
PERF: core11: instrs=12489, cycles=160387, IPC=0.077868
PERF: core12: instrs=12489, cycles=158994, IPC=0.078550
PERF: core13: instrs=12489, cycles=160122, IPC=0.077997
PERF: core14: instrs=12489, cycles=158763, IPC=0.078664
PERF: core15: instrs=12489, cycles=155375, IPC=0.080380
PERF: instrs=315488, cycles=1871705, IPC=0.168556
PERF: core0: instrs=128119, cycles=1870909, IPC=0.068480
PERF: core1: instrs=12460, cycles=159898, IPC=0.077925
PERF: core2: instrs=12461, cycles=155747, IPC=0.080008
PERF: core3: instrs=12460, cycles=159313, IPC=0.078211
PERF: core4: instrs=12460, cycles=159351, IPC=0.078192
PERF: core5: instrs=12460, cycles=161029, IPC=0.077377
PERF: core6: instrs=12460, cycles=157639, IPC=0.079041
PERF: core7: instrs=12460, cycles=161282, IPC=0.077256
PERF: core8: instrs=12460, cycles=160522, IPC=0.077622
PERF: core9: instrs=12460, cycles=160621, IPC=0.077574
PERF: core10: instrs=12460, cycles=155750, IPC=0.080000
PERF: core11: instrs=12460, cycles=159156, IPC=0.078288
PERF: core12: instrs=12460, cycles=161235, IPC=0.077279
PERF: core13: instrs=12460, cycles=160960, IPC=0.077411
PERF: core14: instrs=12460, cycles=157536, IPC=0.079093
PERF: core15: instrs=12460, cycles=156181, IPC=0.079779
PERF: instrs=315020, cycles=1870909, IPC=0.168378
PERF: core0: instrs=128127, cycles=1871013, IPC=0.068480
PERF: core1: instrs=12460, cycles=159898, IPC=0.077925
PERF: core2: instrs=12461, cycles=155747, IPC=0.080008
PERF: core3: instrs=12460, cycles=159313, IPC=0.078211
PERF: core4: instrs=12460, cycles=159351, IPC=0.078192
PERF: core5: instrs=12460, cycles=161029, IPC=0.077377
PERF: core6: instrs=12460, cycles=157639, IPC=0.079041
PERF: core7: instrs=12460, cycles=161282, IPC=0.077256
PERF: core8: instrs=12460, cycles=160522, IPC=0.077622
PERF: core9: instrs=12460, cycles=160621, IPC=0.077574
PERF: core10: instrs=12460, cycles=155750, IPC=0.080000
