PERF: instrs=127911, cycles=1740744, IPC=0.073481
PERF: instrs=127871, cycles=1739302, IPC=0.073519
PERF: instrs=127880, cycles=1739424, IPC=0.073519
PERF: instrs=127892, cycles=1739928, IPC=0.073504
PERF: instrs=127903, cycles=1740157, IPC=0.073501
PERF: instrs=127869, cycles=1739258, IPC=0.073519
PERF: instrs=127877, cycles=1739426, IPC=0.073517
PERF: instrs=127869, cycles=1739243, IPC=0.073520
PERF: instrs=127879, cycles=1739455, IPC=0.073517
PERF: instrs=127906, cycles=1740207, IPC=0.073500
PERF: instrs=127901, cycles=1740117, IPC=0.073501
PERF: instrs=127875, cycles=1739369, IPC=0.073518
PERF: instrs=127900, cycles=1740079, IPC=0.073502
PERF: instrs=127910, cycles=1740354, IPC=0.073497
PERF: instrs=127881, cycles=1739539, IPC=0.073514
PERF: instrs=127880, cycles=1739539, IPC=0.073514
PERF: instrs=127907, cycles=1740312, IPC=0.073497
PERF: instrs=127882, cycles=1739575, IPC=0.073513
PERF: instrs=127907, cycles=1740327, IPC=0.073496
PERF: instrs=127903, cycles=1740220, IPC=0.073498
PERF: instrs=127874, cycles=1739350, IPC=0.073518
PERF: instrs=127905, cycles=1740186, IPC=0.073501
PERF: instrs=127872, cycles=1739308, IPC=0.073519
PERF: instrs=127884, cycles=1739560, IPC=0.073515
PERF: instrs=127910, cycles=1740291, IPC=0.073499
PERF: instrs=127877, cycles=1739426, IPC=0.073517
PERF: instrs=127911, cycles=1740312, IPC=0.073499
PERF: instrs=127906, cycles=1740207, IPC=0.073500
PERF: instrs=127907, cycles=1740228, IPC=0.073500
PERF: instrs=127904, cycles=1740165, IPC=0.073501
PERF: instrs=127880, cycles=1739491, IPC=0.073516
PERF: instrs=127883, cycles=1739539, IPC=0.073515
PERF: instrs=127905, cycles=1740201, IPC=0.073500
PERF: instrs=127877, cycles=1739428, IPC=0.073517
PERF: instrs=127883, cycles=1739487, IPC=0.073518
PERF: instrs=127899, cycles=1740075, IPC=0.073502
