PERF: instrs=127909, cycles=1740732, IPC=0.073480
PERF: instrs=127869, cycles=1739290, IPC=0.073518
PERF: instrs=127878, cycles=1739412, IPC=0.073518
PERF: instrs=127890, cycles=1739916, IPC=0.073504
PERF: instrs=127901, cycles=1740145, IPC=0.073500
PERF: instrs=127867, cycles=1739246, IPC=0.073519
PERF: instrs=127875, cycles=1739414, IPC=0.073516
PERF: instrs=127867, cycles=1739231, IPC=0.073519
PERF: instrs=127877, cycles=1739443, IPC=0.073516
PERF: instrs=127904, cycles=1740195, IPC=0.073500
PERF: instrs=127899, cycles=1740105, IPC=0.073501
PERF: instrs=127873, cycles=1739357, IPC=0.073517
PERF: instrs=127898, cycles=1740067, IPC=0.073502
PERF: instrs=127908, cycles=1740342, IPC=0.073496
PERF: instrs=127879, cycles=1739527, IPC=0.073514
PERF: instrs=127878, cycles=1739527, IPC=0.073513
PERF: instrs=127905, cycles=1740300, IPC=0.073496
PERF: instrs=127880, cycles=1739563, IPC=0.073513
PERF: instrs=127905, cycles=1740315, IPC=0.073495
PERF: instrs=127901, cycles=1740208, IPC=0.073498
PERF: instrs=127872, cycles=1739338, IPC=0.073518
PERF: instrs=127903, cycles=1740174, IPC=0.073500
PERF: instrs=127870, cycles=1739296, IPC=0.073518
PERF: instrs=127882, cycles=1739548, IPC=0.073514
PERF: instrs=127908, cycles=1740279, IPC=0.073499
PERF: instrs=127875, cycles=1739414, IPC=0.073516
PERF: instrs=127909, cycles=1740300, IPC=0.073498
PERF: instrs=127904, cycles=1740195, IPC=0.073500
PERF: instrs=127905, cycles=1740216, IPC=0.073499
PERF: instrs=127902, cycles=1740153, IPC=0.073500
PERF: instrs=127878, cycles=1739479, IPC=0.073515
PERF: instrs=127881, cycles=1739527, IPC=0.073515
PERF: instrs=127903, cycles=1740189, IPC=0.073499
PERF: instrs=127875, cycles=1739416, IPC=0.073516
PERF: instrs=127881, cycles=1739475, IPC=0.073517
PERF: instrs=127897, cycles=1740063, IPC=0.073501
PERF: instrs=127907, cycles=1740357, IPC=0.073495
PERF: instrs=127875, cycles=1739479, IPC=0.073513
PERF: instrs=127878, cycles=1739521, IPC=0.073513
PERF: instrs=127879, cycles=1739548, IPC=0.073513
PERF: instrs=127883, cycles=1739611, IPC=0.073512
PERF: instrs=127910, cycles=1740405, IPC=0.073494
PERF: instrs=127905, cycles=1740315, IPC=0.073495
PERF: instrs=127880, cycles=1739548, IPC=0.073513
PERF: instrs=127908, cycles=1740363, IPC=0.073495
PERF: instrs=127911, cycles=1740405, IPC=0.073495
PERF: instrs=127879, cycles=1739527, IPC=0.073514
PERF: instrs=127880, cycles=1739548, IPC=0.073513
PERF: instrs=127906, cycles=1740321, IPC=0.073496
PERF: instrs=127881, cycles=1739584, IPC=0.073512
PERF: instrs=127905, cycles=1740315, IPC=0.073495
PERF: instrs=127912, cycles=1740441, IPC=0.073494
PERF: instrs=127877, cycles=1739485, IPC=0.073514
PERF: instrs=127907, cycles=1740321, IPC=0.073496
PERF: instrs=127879, cycles=1739527, IPC=0.073514
PERF: instrs=127884, cycles=1739632, IPC=0.073512
PERF: instrs=127912, cycles=1740426, IPC=0.073495
PERF: instrs=127879, cycles=1739540, IPC=0.073513
PERF: instrs=127912, cycles=1740426, IPC=0.073495
PERF: instrs=127911, cycles=1740426, IPC=0.073494
PERF: instrs=127910, cycles=1740363, IPC=0.073496
PERF: instrs=127906, cycles=1740321, IPC=0.073496
PERF: instrs=127880, cycles=1739563, IPC=0.073513
PERF: instrs=127882, cycles=1739590, IPC=0.073513
PERF: instrs=127907, cycles=1740357, IPC=0.073495
PERF: instrs=127879, cycles=1739563, IPC=0.073512
PERF: instrs=127886, cycles=1739622, IPC=0.073514
PERF: instrs=127909, cycles=1740378, IPC=0.073495
PERF: instrs=127907, cycles=1740357, IPC=0.073495
PERF: instrs=127875, cycles=1739479, IPC=0.073513
PERF: instrs=127878, cycles=1739521, IPC=0.073513
PERF: instrs=127879, cycles=1739548, IPC=0.073513
PERF: instrs=127883, cycles=1739611, IPC=0.073512
PERF: instrs=127910, cycles=1740405, IPC=0.073494
PERF: instrs=127905, cycles=1740315, IPC=0.073495
PERF: instrs=127880, cycles=1739548, IPC=0.073513
PERF: instrs=127908, cycles=1740363, IPC=0.073495
PERF: instrs=127911, cycles=1740405, IPC=0.073495
PERF: instrs=127879, cycles=1739527, IPC=0.073514
PERF: instrs=127880, cycles=1739548, IPC=0.073513
PERF: instrs=127906, cycles=1740321, IPC=0.073496
PERF: instrs=127881, cycles=1739584, IPC=0.073512
PERF: instrs=127905, cycles=1740315, IPC=0.073495
PERF: instrs=127912, cycles=1740441, IPC=0.073494
PERF: instrs=127877, cycles=1739485, IPC=0.073514
PERF: instrs=127907, cycles=1740321, IPC=0.073496
PERF: instrs=127879, cycles=1739527, IPC=0.073514
PERF: instrs=127884, cycles=1739632, IPC=0.073512
PERF: instrs=127912, cycles=1740426, IPC=0.073495
PERF: instrs=127879, cycles=1739540, IPC=0.073513
PERF: instrs=127912, cycles=1740426, IPC=0.073495
PERF: instrs=127911, cycles=1740426, IPC=0.073494
PERF: instrs=127910, cycles=1740363, IPC=0.073496
PERF: instrs=127906, cycles=1740321, IPC=0.073496
