PERF: instrs=267315, cycles=3320150, IPC=0.080513
PERF: instrs=267425, cycles=3320267, IPC=0.080543
PERF: instrs=267394, cycles=3320176, IPC=0.080536
PERF: instrs=267526, cycles=3321597, IPC=0.080541
PERF: instrs=267427, cycles=3320875, IPC=0.080529
PERF: instrs=267443, cycles=3320418, IPC=0.080545
PERF: instrs=267371, cycles=3320005, IPC=0.080533
PERF: instrs=267453, cycles=3320682, IPC=0.080542
PERF: instrs=267363, cycles=3319944, IPC=0.080532
PERF: instrs=267410, cycles=3320443, IPC=0.080534
PERF: instrs=267445, cycles=3320802, IPC=0.080536
PERF: instrs=267399, cycles=3320209, IPC=0.080537
PERF: instrs=267464, cycles=3321001, IPC=0.080537
PERF: instrs=267374, cycles=3320344, IPC=0.080526
PERF: instrs=267345, cycles=3319723, IPC=0.080532
PERF: instrs=267354, cycles=3319893, IPC=0.080531
PERF: instrs=267401, cycles=3320686, IPC=0.080526
PERF: instrs=267326, cycles=3319587, IPC=0.080530
PERF: instrs=267391, cycles=3320552, IPC=0.080526
PERF: instrs=267427, cycles=3320812, IPC=0.080531
PERF: instrs=267408, cycles=3320182, IPC=0.080540
PERF: instrs=267419, cycles=3320816, IPC=0.080528
PERF: instrs=267426, cycles=3320395, IPC=0.080540
PERF: instrs=267318, cycles=3319318, IPC=0.080534
PERF: instrs=267374, cycles=3320428, IPC=0.080524
PERF: instrs=267371, cycles=3319809, IPC=0.080538
PERF: instrs=267365, cycles=3320363, IPC=0.080523
PERF: instrs=267410, cycles=3320730, IPC=0.080527
PERF: instrs=267401, cycles=3320623, IPC=0.080527
PERF: instrs=267428, cycles=3320839, IPC=0.080530
PERF: instrs=267344, cycles=3319530, IPC=0.080537
PERF: instrs=267327, cycles=3319363, IPC=0.080536
PERF: instrs=267409, cycles=3320682, IPC=0.080528
PERF: instrs=267371, cycles=3319789, IPC=0.080539
PERF: instrs=267367, cycles=3319762, IPC=0.080538
PERF: instrs=267463, cycles=3321156, IPC=0.080533
PERF: instrs=267373, cycles=3320485, IPC=0.080522
PERF: instrs=267371, cycles=3319832, IPC=0.080538
PERF: instrs=267344, cycles=3319633, IPC=0.080534
PERF: instrs=267345, cycles=3319660, IPC=0.080534
PERF: instrs=267309, cycles=3319273, IPC=0.080532
PERF: instrs=267356, cycles=3320340, IPC=0.080521
PERF: instrs=267391, cycles=3320615, IPC=0.080525
PERF: instrs=267336, cycles=3319471, IPC=0.080536
PERF: instrs=267374, cycles=3320491, IPC=0.080522
PERF: instrs=267347, cycles=3320233, IPC=0.080521
PERF: instrs=267345, cycles=3319598, IPC=0.080535
PERF: instrs=267336, cycles=3319553, IPC=0.080534
PERF: instrs=267392, cycles=3320663, IPC=0.080524
PERF: instrs=267317, cycles=3319354, IPC=0.080533
PERF: instrs=267391, cycles=3320657, IPC=0.080524
PERF: instrs=267328, cycles=3320076, IPC=0.080519
PERF: instrs=267363, cycles=3319812, IPC=0.080536
PERF: instrs=267383, cycles=3320556, IPC=0.080524
PERF: instrs=267345, cycles=3319639, IPC=0.080534
PERF: instrs=267300, cycles=3319207, IPC=0.080531
PERF: instrs=267338, cycles=3320147, IPC=0.080520
PERF: instrs=267335, cycles=3319547, IPC=0.080534
PERF: instrs=267338, cycles=3320168, IPC=0.080519
PERF: instrs=267347, cycles=3320275, IPC=0.080520
PERF: instrs=267356, cycles=3320277, IPC=0.080522
PERF: instrs=267392, cycles=3320663, IPC=0.080524
PERF: instrs=267326, cycles=3319420, IPC=0.080534
PERF: instrs=267318, cycles=3319339, IPC=0.080534
PERF: instrs=267373, cycles=3320485, IPC=0.080522
PERF: instrs=267335, cycles=3319507, IPC=0.080535
PERF: instrs=267322, cycles=3319414, IPC=0.080533
PERF: instrs=267355, cycles=3320250, IPC=0.080523
PERF: instrs=267373, cycles=3320485, IPC=0.080522
PERF: instrs=267371, cycles=3319832, IPC=0.080538
PERF: instrs=267344, cycles=3319633, IPC=0.080534
PERF: instrs=267345, cycles=3319660, IPC=0.080534
PERF: instrs=267309, cycles=3319273, IPC=0.080532
PERF: instrs=267356, cycles=3320340, IPC=0.080521
PERF: instrs=267391, cycles=3320615, IPC=0.080525
PERF: instrs=267336, cycles=3319471, IPC=0.080536
PERF: instrs=267374, cycles=3320491, IPC=0.080522
PERF: instrs=267347, cycles=3320233, IPC=0.080521
PERF: instrs=267345, cycles=3319598, IPC=0.080535
PERF: instrs=267336, cycles=3319553, IPC=0.080534
PERF: instrs=267392, cycles=3320663, IPC=0.080524
PERF: instrs=267317, cycles=3319354, IPC=0.080533
PERF: instrs=267391, cycles=3320657, IPC=0.080524
PERF: instrs=267328, cycles=3320076, IPC=0.080519
PERF: instrs=267363, cycles=3319812, IPC=0.080536
PERF: instrs=267383, cycles=3320556, IPC=0.080524
PERF: instrs=267345, cycles=3319639, IPC=0.080534
PERF: instrs=267300, cycles=3319207, IPC=0.080531
PERF: instrs=267338, cycles=3320147, IPC=0.080520
PERF: instrs=267335, cycles=3319547, IPC=0.080534
PERF: instrs=267338, cycles=3320168, IPC=0.080519
PERF: instrs=267347, cycles=3320275, IPC=0.080520
PERF: instrs=267356, cycles=3320277, IPC=0.080522
PERF: instrs=267392, cycles=3320663, IPC=0.080524
PERF: instrs=267326, cycles=3319420, IPC=0.080534
PERF: instrs=267318, cycles=3319339, IPC=0.080534
PERF: instrs=267373, cycles=3320485, IPC=0.080522
PERF: instrs=267335, cycles=3319507, IPC=0.080535
PERF: instrs=267322, cycles=3319414, IPC=0.080533
PERF: instrs=267355, cycles=3320250, IPC=0.080523
PERF: instrs=267373, cycles=3320485, IPC=0.080522
PERF: instrs=267371, cycles=3319832, IPC=0.080538
PERF: instrs=267344, cycles=3319633, IPC=0.080534
PERF: instrs=267345, cycles=3319660, IPC=0.080534
PERF: instrs=267309, cycles=3319273, IPC=0.080532
PERF: instrs=267356, cycles=3320340, IPC=0.080521
PERF: instrs=267391, cycles=3320615, IPC=0.080525
PERF: instrs=267336, cycles=3319471, IPC=0.080536
PERF: instrs=267374, cycles=3320491, IPC=0.080522
PERF: instrs=267347, cycles=3320233, IPC=0.080521
PERF: instrs=267345, cycles=3319598, IPC=0.080535
PERF: instrs=267336, cycles=3319553, IPC=0.080534
PERF: instrs=267392, cycles=3320663, IPC=0.080524
PERF: instrs=267317, cycles=3319354, IPC=0.080533
PERF: instrs=267391, cycles=3320657, IPC=0.080524
PERF: instrs=267328, cycles=3320076, IPC=0.080519
PERF: instrs=267363, cycles=3319812, IPC=0.080536
PERF: instrs=267383, cycles=3320556, IPC=0.080524
PERF: instrs=267345, cycles=3319639, IPC=0.080534
PERF: instrs=267300, cycles=3319207, IPC=0.080531
PERF: instrs=267338, cycles=3320147, IPC=0.080520
PERF: instrs=267335, cycles=3319547, IPC=0.080534
PERF: instrs=267338, cycles=3320168, IPC=0.080519
PERF: instrs=267347, cycles=3320275, IPC=0.080520
PERF: instrs=267356, cycles=3320277, IPC=0.080522
PERF: instrs=267392, cycles=3320663, IPC=0.080524
PERF: instrs=267326, cycles=3319420, IPC=0.080534
PERF: instrs=267318, cycles=3319339, IPC=0.080534
PERF: instrs=267373, cycles=3320485, IPC=0.080522
PERF: instrs=267335, cycles=3319507, IPC=0.080535
PERF: instrs=267322, cycles=3319414, IPC=0.080533
PERF: instrs=267355, cycles=3320250, IPC=0.080523
PERF: instrs=267373, cycles=3320485, IPC=0.080522
PERF: instrs=267371, cycles=3319832, IPC=0.080538
PERF: instrs=267344, cycles=3319633, IPC=0.080534
PERF: instrs=267345, cycles=3319660, IPC=0.080534
PERF: instrs=267309, cycles=3319273, IPC=0.080532
PERF: instrs=267356, cycles=3320340, IPC=0.080521
PERF: instrs=267391, cycles=3320615, IPC=0.080525
PERF: instrs=267336, cycles=3319471, IPC=0.080536
PERF: instrs=267374, cycles=3320491, IPC=0.080522
PERF: instrs=267347, cycles=3320233, IPC=0.080521
PERF: instrs=267345, cycles=3319598, IPC=0.080535
PERF: instrs=267336, cycles=3319553, IPC=0.080534
PERF: instrs=267392, cycles=3320663, IPC=0.080524
PERF: instrs=267317, cycles=3319354, IPC=0.080533
PERF: instrs=267391, cycles=3320657, IPC=0.080524
PERF: instrs=267328, cycles=3320076, IPC=0.080519
PERF: instrs=267363, cycles=3319812, IPC=0.080536
PERF: instrs=267383, cycles=3320556, IPC=0.080524
PERF: instrs=267345, cycles=3319639, IPC=0.080534
PERF: instrs=267300, cycles=3319207, IPC=0.080531
PERF: instrs=267338, cycles=3320147, IPC=0.080520
PERF: instrs=267335, cycles=3319547, IPC=0.080534
PERF: instrs=267338, cycles=3320168, IPC=0.080519
PERF: instrs=267347, cycles=3320275, IPC=0.080520
PERF: instrs=267356, cycles=3320277, IPC=0.080522
PERF: instrs=267392, cycles=3320663, IPC=0.080524
PERF: instrs=267326, cycles=3319420, IPC=0.080534
PERF: instrs=267318, cycles=3319339, IPC=0.080534
PERF: instrs=267373, cycles=3320485, IPC=0.080522
PERF: instrs=267335, cycles=3319507, IPC=0.080535
PERF: instrs=267322, cycles=3319414, IPC=0.080533
PERF: instrs=267355, cycles=3320250, IPC=0.080523
PERF: instrs=267373, cycles=3320485, IPC=0.080522
PERF: instrs=267371, cycles=3319832, IPC=0.080538
PERF: instrs=267344, cycles=3319633, IPC=0.080534
PERF: instrs=267345, cycles=3319660, IPC=0.080534
PERF: instrs=267309, cycles=3319273, IPC=0.080532
PERF: instrs=267356, cycles=3320340, IPC=0.080521
PERF: instrs=267391, cycles=3320615, IPC=0.080525
PERF: instrs=267336, cycles=3319471, IPC=0.080536
PERF: instrs=267374, cycles=3320491, IPC=0.080522
PERF: instrs=267347, cycles=3320233, IPC=0.080521
PERF: instrs=267345, cycles=3319598, IPC=0.080535
PERF: instrs=267336, cycles=3319553, IPC=0.080534
PERF: instrs=267392, cycles=3320663, IPC=0.080524
PERF: instrs=267317, cycles=3319354, IPC=0.080533
PERF: instrs=267391, cycles=3320657, IPC=0.080524
PERF: instrs=267363, cycles=3319812, IPC=0.080536
PERF: instrs=267371, cycles=3319832, IPC=0.080538
PERF: instrs=267338, cycles=3320147, IPC=0.080520
PERF: instrs=267392, cycles=3320663, IPC=0.080524
PERF: instrs=267345, cycles=3319598, IPC=0.080535
PERF: instrs=267328, cycles=3320076, IPC=0.080519
PERF: instrs=267335, cycles=3319507, IPC=0.080535
PERF: instrs=267373, cycles=3320485, IPC=0.080522
PERF: instrs=267318, cycles=3319339, IPC=0.080534
PERF: instrs=267345, cycles=3319660, IPC=0.080534
PERF: instrs=267347, cycles=3320233, IPC=0.080521
PERF: instrs=267326, cycles=3319420, IPC=0.080534
PERF: instrs=267355, cycles=3320250, IPC=0.080523
PERF: instrs=267344, cycles=3319633, IPC=0.080534
PERF: instrs=267335, cycles=3319547, IPC=0.080534
PERF: instrs=267336, cycles=3319471, IPC=0.080536
PERF: instrs=267317, cycles=3319354, IPC=0.080533
PERF: instrs=267338, cycles=3320168, IPC=0.080519
PERF: instrs=267373, cycles=3320485, IPC=0.080522
PERF: instrs=267383, cycles=3320556, IPC=0.080524
PERF: instrs=267345, cycles=3319639, IPC=0.080534
PERF: instrs=267391, cycles=3320657, IPC=0.080524
PERF: instrs=267356, cycles=3320277, IPC=0.080522
PERF: instrs=267392, cycles=3320663, IPC=0.080524
PERF: instrs=267336, cycles=3319553, IPC=0.080534
PERF: instrs=267374, cycles=3320491, IPC=0.080522
PERF: instrs=267309, cycles=3319273, IPC=0.080532
PERF: instrs=267356, cycles=3320340, IPC=0.080521
PERF: instrs=267347, cycles=3320275, IPC=0.080520
PERF: instrs=267300, cycles=3319207, IPC=0.080531
PERF: instrs=267322, cycles=3319414, IPC=0.080533
PERF: instrs=267391, cycles=3320615, IPC=0.080525
PERF: instrs=267363, cycles=3319812, IPC=0.080536
PERF: instrs=267371, cycles=3319832, IPC=0.080538
PERF: instrs=267338, cycles=3320147, IPC=0.080520
PERF: instrs=267392, cycles=3320663, IPC=0.080524
PERF: instrs=267345, cycles=3319598, IPC=0.080535
PERF: instrs=267328, cycles=3320076, IPC=0.080519
PERF: instrs=267335, cycles=3319507, IPC=0.080535
PERF: instrs=267373, cycles=3320485, IPC=0.080522
PERF: instrs=267318, cycles=3319339, IPC=0.080534
PERF: instrs=267345, cycles=3319660, IPC=0.080534
PERF: instrs=267347, cycles=3320233, IPC=0.080521
PERF: instrs=267326, cycles=3319420, IPC=0.080534
PERF: instrs=267355, cycles=3320250, IPC=0.080523
PERF: instrs=267344, cycles=3319633, IPC=0.080534
PERF: instrs=267335, cycles=3319547, IPC=0.080534
PERF: instrs=267336, cycles=3319471, IPC=0.080536
PERF: instrs=267317, cycles=3319354, IPC=0.080533
PERF: instrs=267338, cycles=3320168, IPC=0.080519
PERF: instrs=267373, cycles=3320485, IPC=0.080522
PERF: instrs=267383, cycles=3320556, IPC=0.080524
PERF: instrs=267345, cycles=3319639, IPC=0.080534
PERF: instrs=267391, cycles=3320657, IPC=0.080524
PERF: instrs=267356, cycles=3320277, IPC=0.080522
PERF: instrs=267392, cycles=3320663, IPC=0.080524
PERF: instrs=267336, cycles=3319553, IPC=0.080534
PERF: instrs=267374, cycles=3320491, IPC=0.080522
PERF: instrs=267309, cycles=3319273, IPC=0.080532
PERF: instrs=267356, cycles=3320340, IPC=0.080521
PERF: instrs=267347, cycles=3320275, IPC=0.080520
PERF: instrs=267300, cycles=3319207, IPC=0.080531
PERF: instrs=267322, cycles=3319414, IPC=0.080533
PERF: instrs=267391, cycles=3320615, IPC=0.080525
PERF: instrs=267363, cycles=3319812, IPC=0.080536
PERF: instrs=267371, cycles=3319832, IPC=0.080538
PERF: instrs=267338, cycles=3320147, IPC=0.080520
PERF: instrs=267392, cycles=3320663, IPC=0.080524
PERF: instrs=267345, cycles=3319598, IPC=0.080535
PERF: instrs=267328, cycles=3320076, IPC=0.080519
PERF: instrs=267335, cycles=3319507, IPC=0.080535
PERF: instrs=267373, cycles=3320485, IPC=0.080522
PERF: instrs=267318, cycles=3319339, IPC=0.080534
PERF: instrs=267345, cycles=3319660, IPC=0.080534
PERF: instrs=267347, cycles=3320233, IPC=0.080521
PERF: instrs=267326, cycles=3319420, IPC=0.080534
PERF: instrs=267355, cycles=3320250, IPC=0.080523
PERF: instrs=267344, cycles=3319633, IPC=0.080534
PERF: instrs=267335, cycles=3319547, IPC=0.080534
PERF: instrs=267336, cycles=3319471, IPC=0.080536
PERF: instrs=267317, cycles=3319354, IPC=0.080533
PERF: instrs=267338, cycles=3320168, IPC=0.080519
PERF: instrs=267373, cycles=3320485, IPC=0.080522
PERF: instrs=267383, cycles=3320556, IPC=0.080524
PERF: instrs=267345, cycles=3319639, IPC=0.080534
PERF: instrs=267391, cycles=3320657, IPC=0.080524
PERF: instrs=267356, cycles=3320277, IPC=0.080522
PERF: instrs=267392, cycles=3320663, IPC=0.080524
PERF: instrs=267336, cycles=3319553, IPC=0.080534
PERF: instrs=267374, cycles=3320491, IPC=0.080522
PERF: instrs=267309, cycles=3319273, IPC=0.080532
PERF: instrs=267356, cycles=3320340, IPC=0.080521
PERF: instrs=267347, cycles=3320275, IPC=0.080520
PERF: instrs=267300, cycles=3319207, IPC=0.080531
PERF: instrs=267322, cycles=3319414, IPC=0.080533
PERF: instrs=267391, cycles=3320615, IPC=0.080525
PERF: instrs=267363, cycles=3319812, IPC=0.080536
PERF: instrs=267371, cycles=3319832, IPC=0.080538
PERF: instrs=267338, cycles=3320147, IPC=0.080520
PERF: instrs=267392, cycles=3320663, IPC=0.080524
PERF: instrs=267345, cycles=3319598, IPC=0.080535
PERF: instrs=267328, cycles=3320076, IPC=0.080519
PERF: instrs=267335, cycles=3319507, IPC=0.080535
PERF: instrs=267373, cycles=3320485, IPC=0.080522
PERF: instrs=267318, cycles=3319339, IPC=0.080534
PERF: instrs=267345, cycles=3319660, IPC=0.080534
PERF: instrs=267347, cycles=3320233, IPC=0.080521
PERF: instrs=267326, cycles=3319420, IPC=0.080534
PERF: instrs=267355, cycles=3320250, IPC=0.080523
PERF: instrs=267344, cycles=3319633, IPC=0.080534
PERF: instrs=267335, cycles=3319547, IPC=0.080534
PERF: instrs=267336, cycles=3319471, IPC=0.080536
PERF: instrs=267317, cycles=3319354, IPC=0.080533
PERF: instrs=267338, cycles=3320168, IPC=0.080519
PERF: instrs=267373, cycles=3320485, IPC=0.080522
PERF: instrs=267383, cycles=3320556, IPC=0.080524
PERF: instrs=267345, cycles=3319639, IPC=0.080534
PERF: instrs=267391, cycles=3320657, IPC=0.080524
PERF: instrs=267356, cycles=3320277, IPC=0.080522
PERF: instrs=267392, cycles=3320663, IPC=0.080524
PERF: instrs=267336, cycles=3319553, IPC=0.080534
PERF: instrs=267374, cycles=3320491, IPC=0.080522
PERF: instrs=267309, cycles=3319273, IPC=0.080532
PERF: instrs=267356, cycles=3320340, IPC=0.080521
PERF: instrs=267347, cycles=3320275, IPC=0.080520
PERF: instrs=267300, cycles=3319207, IPC=0.080531
PERF: instrs=267322, cycles=3319414, IPC=0.080533
PERF: instrs=267391, cycles=3320615, IPC=0.080525
PERF: instrs=267363, cycles=3319812, IPC=0.080536
PERF: instrs=267371, cycles=3319832, IPC=0.080538
PERF: instrs=267338, cycles=3320147, IPC=0.080520
PERF: instrs=267392, cycles=3320663, IPC=0.080524
PERF: instrs=267345, cycles=3319598, IPC=0.080535
PERF: instrs=267328, cycles=3320076, IPC=0.080519
PERF: instrs=267335, cycles=3319507, IPC=0.080535
PERF: instrs=267373, cycles=3320485, IPC=0.080522
PERF: instrs=267318, cycles=3319339, IPC=0.080534
PERF: instrs=267345, cycles=3319660, IPC=0.080534
PERF: instrs=267347, cycles=3320233, IPC=0.080521
PERF: instrs=267326, cycles=3319420, IPC=0.080534
PERF: instrs=267355, cycles=3320250, IPC=0.080523
PERF: instrs=267344, cycles=3319633, IPC=0.080534
PERF: instrs=267335, cycles=3319547, IPC=0.080534
PERF: instrs=267336, cycles=3319471, IPC=0.080536
PERF: instrs=267317, cycles=3319354, IPC=0.080533
PERF: instrs=267338, cycles=3320168, IPC=0.080519
PERF: instrs=267373, cycles=3320485, IPC=0.080522
PERF: instrs=267383, cycles=3320556, IPC=0.080524
PERF: instrs=267345, cycles=3319639, IPC=0.080534
PERF: instrs=267391, cycles=3320657, IPC=0.080524
PERF: instrs=267356, cycles=3320277, IPC=0.080522
PERF: instrs=267392, cycles=3320663, IPC=0.080524
PERF: instrs=267336, cycles=3319553, IPC=0.080534
PERF: instrs=267374, cycles=3320491, IPC=0.080522
PERF: instrs=267309, cycles=3319273, IPC=0.080532
PERF: instrs=267356, cycles=3320340, IPC=0.080521
PERF: instrs=267347, cycles=3320275, IPC=0.080520
PERF: instrs=267300, cycles=3319207, IPC=0.080531
PERF: instrs=267322, cycles=3319414, IPC=0.080533
PERF: instrs=267391, cycles=3320615, IPC=0.080525
PERF: instrs=267363, cycles=3319812, IPC=0.080536
PERF: instrs=267371, cycles=3319832, IPC=0.080538
PERF: instrs=267338, cycles=3320147, IPC=0.080520
PERF: instrs=267392, cycles=3320663, IPC=0.080524
PERF: instrs=267345, cycles=3319598, IPC=0.080535
PERF: instrs=267328, cycles=3320076, IPC=0.080519
PERF: instrs=267335, cycles=3319507, IPC=0.080535
PERF: instrs=267373, cycles=3320485, IPC=0.080522
PERF: instrs=267318, cycles=3319339, IPC=0.080534
PERF: instrs=267345, cycles=3319660, IPC=0.080534
PERF: instrs=267347, cycles=3320233, IPC=0.080521
PERF: instrs=267326, cycles=3319420, IPC=0.080534
PERF: instrs=267355, cycles=3320250, IPC=0.080523
PERF: instrs=267344, cycles=3319633, IPC=0.080534
PERF: instrs=267335, cycles=3319547, IPC=0.080534
PERF: instrs=267336, cycles=3319471, IPC=0.080536
PERF: instrs=267317, cycles=3319354, IPC=0.080533
PERF: instrs=267338, cycles=3320168, IPC=0.080519
PERF: instrs=267373, cycles=3320485, IPC=0.080522
PERF: instrs=267335, cycles=3319547, IPC=0.080534
PERF: instrs=267328, cycles=3320013, IPC=0.080520
PERF: instrs=267373, cycles=3320422, IPC=0.080524
PERF: instrs=267336, cycles=3319595, IPC=0.080533
PERF: instrs=267347, cycles=3320191, IPC=0.080522
PERF: instrs=267309, cycles=3319399, IPC=0.080529
PERF: instrs=267338, cycles=3320126, IPC=0.080520
PERF: instrs=267318, cycles=3319485, IPC=0.080530
PERF: instrs=267329, cycles=3320040, IPC=0.080520
PERF: instrs=267329, cycles=3320061, IPC=0.080519
PERF: instrs=267338, cycles=3320126, IPC=0.080520
PERF: instrs=267300, cycles=3319354, IPC=0.080528
PERF: instrs=267326, cycles=3319567, IPC=0.080530
PERF: instrs=267346, cycles=3320185, IPC=0.080521
PERF: instrs=267318, cycles=3319507, IPC=0.080529
PERF: instrs=267356, cycles=3320319, IPC=0.080521
PERF: instrs=267327, cycles=3320028, IPC=0.080520
PERF: instrs=267297, cycles=3319357, IPC=0.080527
PERF: instrs=267336, cycles=3320135, IPC=0.080520
PERF: instrs=267326, cycles=3320064, IPC=0.080518
PERF: instrs=267307, cycles=3319408, IPC=0.080529
PERF: instrs=267335, cycles=3320129, IPC=0.080519
PERF: instrs=267316, cycles=3319535, IPC=0.080528
PERF: instrs=267297, cycles=3319357, IPC=0.080527
PERF: instrs=267307, cycles=3319428, IPC=0.080528
PERF: instrs=267315, cycles=3319509, IPC=0.080528
PERF: instrs=267297, cycles=3319336, IPC=0.080527
PERF: instrs=267353, cycles=3320238, IPC=0.080522
PERF: instrs=267298, cycles=3319342, IPC=0.080527
PERF: instrs=267302, cycles=3319355, IPC=0.080528
PERF: instrs=267336, cycles=3320156, IPC=0.080519
PERF: instrs=267336, cycles=3320156, IPC=0.080519
PERF: instrs=267297, cycles=3319315, IPC=0.080528
PERF: instrs=267317, cycles=3319965, IPC=0.080518
